参控股名称;股票代码;报告期;持股比例(%)
江西都昌金鼎钨钼矿业有限公司;-;2017-12-31;100.00
福建省长汀金龙稀土有限公司;-;2017-12-31;100.00
洛阳金鹭硬质合金工具有限公司;-;2017-12-31;100.00
麻栗坡海隅钨业有限公司;-;2017-12-31;100.00
佳鹭(香港)有限公司;-;2017-12-31;100.00
厦门欧斯拓科技有限公司;-;2017-12-31;100.00
厦门厦钨新能源材料有限公司;-;2017-12-31;100.00
厦门厦钨投资有限公司;-;2017-12-31;100.00
百斯图工具制造有限公司;-;2017-12-31;100.00
厦门象屿鸣鹭国际贸易有限公司;-;2015-12-31;100.00
长汀县金凯稀土开发有限公司;-;2015-12-31;100.00
上海虹广钨钼科技有限公司;-;2015-12-31;100.00
宁化行洛坑钨矿有限公司;-;2017-12-31;98.95
厦门嘉鹭金属工业有限公司;-;2017-12-31;90.00
廊坊市百斯图工具制造有限公司;-;2017-12-31;80.00
赣州虹飞钨钼材料有限公司;-;2015-12-31;70.93
成都联虹钼业有限公司;-;2017-12-31;70.00
九江金鹭硬质合金有限公司;-;2017-12-31;70.00
厦门创云精智机械设备股份有限公司;-;2017-12-31;70.00
厦门鸣鹤管理咨询股份有限公司;-;2017-12-31;70.00
厦门谦鹭信息技术股份有限公司;-;2017-12-31;70.00
福建贝思科电子材料股份有限公司;-;2017-12-31;70.00
三明厦钨新能源材料有限公司;-;2015-12-31;70.00
成都虹波实业股份有限公司;100063.CDE;2017-12-31;66.21
厦门虹鹭钨钼工业有限公司;-;2017-12-31;65.00
厦门金鹭特种合金有限公司;-;2017-12-31;60.00
厦门滕王阁房地产开发有限公司;-;2017-12-31;60.00
洛阳豫鹭矿业有限责任公司;-;2017-12-31;60.00
龙岩市稀土开发有限公司;-;2017-12-31;51.00
三明市稀土开发有限公司;-;2017-12-31;51.00
