参控股名称;股票代码;报告期;持股比例(%)
北京嘉事堂连锁药店有限责任公司;-;2017-06-30;100.00
北京嘉和嘉事医药物流有限公司;-;2017-06-30;100.00
辽宁嘉事堂药业有限公司;-;2017-06-30;100.00
安徽嘉和事兴医疗器械物流有限公司;-;2017-06-30;100.00
广州嘉和上品医疗器械有限公司;-;2017-06-30;100.00
上海嘉和诚康医疗器械有限公司;-;2017-06-30;100.00
四川嘉事顺远宏医疗器械有限责任公司;-;2017-06-30;100.00
北京嘉事京西医药科技有限公司;-;2017-06-30;70.00
北京嘉事宏德医药有限公司;-;2017-06-30;51.00
北京嘉事盛世医疗器械有限公司;-;2017-06-30;51.00
北京嘉事唯众医疗器械有限公司;-;2017-06-30;51.00
嘉事国润(上海)医疗科技有限公司;-;2017-06-30;51.00
北京嘉事德康医疗器械经营有限公司;-;2017-06-30;51.00
安徽嘉事天诚药业有限公司;-;2017-06-30;51.00
陕西嘉事堂医药有限责任公司;-;2017-06-30;51.00
湖北嘉事君安医药有限公司;-;2017-06-30;51.00
上海嘉事嘉意医疗器材有限公司;-;2017-06-30;41.00
浙江嘉事杰博医疗器械有限公司;-;2017-06-30;41.00
广州嘉事百洲医疗器械有限公司;-;2017-06-30;41.00
广州嘉事怡核医疗科技有限公司;-;2017-06-30;41.00
四川嘉事馨顺和医疗器械有限公司;-;2017-06-30;41.00
重庆嘉事臻跃医疗器械有限公司;-;2017-06-30;41.00
北京嘉事爱格医疗器械有限公司;-;2017-06-30;36.00
广州嘉事吉健医疗器械有限公司;-;2017-06-30;36.00
安徽嘉事谊诚医疗器械贸易有限公司;-;2017-06-30;36.00
北京金康瑞源商贸有限公司;-;2017-06-30;31.00
上海嘉事明伦医疗器材有限公司;-;2017-06-30;31.00
深圳嘉事康元医疗器械有限公司;-;2017-06-30;31.00
嘉事嘉成医疗器械武汉有限公司;-;2017-06-30;31.00
北京三九朝阳医药有限公司;-;2017-06-30;29.00
