参控股名称;股票代码;报告期;持股比例(%)
嘉凯城集团(上海)有限公司;-;2017-12-31;100.00
嘉凯城集团(浙江)有限公司;-;2017-12-31;100.00
嘉凯城集团嘉业有限公司;-;2017-12-31;100.00
上海凯思达股权投资有限公司;-;2017-12-31;100.00
嘉凯城集团城镇化建设发展有限公司;-;2017-12-31;100.00
嘉凯城集团商业资产管理有限公司;-;2017-12-31;100.00
上海友舜建筑装饰工程有限公司;-;2017-12-31;100.00
嘉凯城集团物业服务有限公司;-;2017-12-31;100.00
浙江名城实业集团有限公司;-;2017-12-31;100.00
诸暨嘉凯城房地产开发有限公司;-;2017-12-31;100.00
上海聚典贸易有限公司;-;2017-12-31;100.00
郑州中凯置业有限公司;-;2017-12-31;100.00
浙江中江房地产开发有限公司;-;2017-12-31;100.00
上海绎凯博才房地产代理有限公司;-;2017-12-31;100.00
上海恺凯能源科技有限公司;-;2017-12-31;100.00
南京钱塘房地产开发有限公司;-;2017-12-31;100.00
苏州名城房地产置业有限公司;-;2017-12-31;100.00
杭州新名城房地产开发有限公司;-;2017-12-31;100.00
杭州名城北部置业有限公司;-;2017-12-31;100.00
杭州名城博园置业有限公司;-;2017-12-31;100.00
杭州嘉凯城滨虹房地产开发有限公司;-;2017-12-31;100.00
浙江同益投资有限公司;-;2017-12-31;100.00
浙江商达物资有限公司;-;2017-12-31;100.00
浙江名城金属材料有限公司;-;2017-12-31;100.00
浙江名城钢铁有限公司;-;2017-12-31;100.00
圣诺国际(香港)有限公司;-;2017-12-31;100.00
上海颐嘉投资管理有限公司;-;2017-12-31;100.00
无锡嘉盈投资管理有限公司;-;2017-12-31;100.00
郑州中凯物业管理有限公司;-;2017-12-31;100.00
浙江同益物业服务有限公司;-;2017-12-31;100.00
