参控股名称;股票代码;报告期;持股比例(%)
福建塔牌水泥有限公司;-;2017-12-31;100.00
梅州市塔牌营销有限公司;-;2017-12-31;100.00
广东塔牌混凝土投资有限公司;-;2017-12-31;100.00
惠州塔牌水泥有限公司;-;2017-12-31;100.00
蕉岭鑫盛能源发展有限公司;-;2017-12-31;100.00
梅州市塔牌集团蕉岭鑫达旋窑水泥有限公司;-;2017-12-31;100.00
梅州市梅县区恒塔旋窑水泥有限公司;-;2017-12-31;100.00
梅州金塔水泥有限公司;-;2017-12-31;100.00
梅州市梅县区恒发建材有限公司;-;2017-12-31;100.00
梅州市华山水泥有限公司;-;2017-12-31;100.00
梅州市文华矿山有限公司;-;2017-12-31;100.00
广东塔牌创业投资管理有限公司;-;2017-12-31;100.00
蕉岭塔牌文化发展有限公司;-;2017-12-31;85.00
深圳中展信科技创业投资企业(有限合伙);-;2017-12-31;50.00
广东华新达建材科技有限公司;-;2017-12-31;45.00
揭阳市新粤塔混凝土有限公司;-;2017-12-31;40.00
汕头市澄海区路路通混凝土有限公司;-;2017-12-31;33.00
饶平县新恒塔混凝土有限公司;-;2017-12-31;33.00
丰顺县增顺机械工程有限公司;-;2017-12-31;33.00
五华县塔牌混凝土有限公司;-;2017-12-31;33.00
普宁市新恒塔混凝土有限公司;-;2017-12-31;33.00
梅州客商银行股份有限公司;-;2017-12-31;20.00
