参控股名称;股票代码;报告期;持股比例(%)
中外运香港空运发展有限公司;-;2017-12-31;100.00
中外运速递有限公司;-;2017-12-31;100.00
中外运现代物流有限公司;-;2017-12-31;100.00
中外运绵阳出口加工区物流有限公司;-;2017-12-31;100.00
北京中外运空港仓储服务有限公司;-;2017-12-31;100.00
中外运绵阳物流有限公司;-;2017-12-31;100.00
中外运(成都)空港物流有限公司;-;2017-12-31;100.00
南京新运物流有限公司;-;2017-12-31;100.00
中外运(青岛)空港物流有限公司;-;2017-12-31;100.00
中外运定州物流有限公司;-;2017-12-31;100.00
中外运(长春)物流有限公司;-;2017-12-31;100.00
中外运(郑州)空港物流有限公司;-;2017-12-31;100.00
中外运空港物流(上海)有限公司;-;2017-12-31;100.00
中外运南京空港物流有限公司;-;2017-12-31;100.00
中外运(武汉)供应链物流有限公司;-;2017-12-31;100.00
中外运(南昌)供应链物流有限公司;-;2017-12-31;100.00
北京中外运嘉航物流有限公司;-;2017-12-31;100.00
中外运(合肥)空港物流有限公司;-;2017-12-31;100.00
上海中外运空运保税物流有限公司;-;2017-12-31;100.00
佛山中外运快件管理报关有限公司;-;2017-12-31;100.00
天津天华宏运物流有限公司;-;2017-12-31;100.00
华运公司;-;2017-12-31;100.00
中外运泸州港保税物流有限公司;-;2017-12-31;60.00
成都保税物流投资有限公司;-;2017-12-31;54.29
中外运-敦豪国际航空快件有限公司;-;2017-12-31;50.00
华捷国际运输代理有限公司;-;2017-12-31;50.00
上海中外运松江物流有限公司;-;2017-12-31;50.00
中外运安迈世(上海)国际航空快递有限公司;-;2017-12-31;50.00
中外运泓丰(上海)国际物流有限公司;-;2017-12-31;50.00
中外运电子商务有限公司;-;2017-12-31;50.00
