参控股名称;股票代码;报告期;持股比例(%)
大富科技(香港)有限公司;-;2017-12-31;100.00
成都市大富科技有限公司;-;2017-12-31;100.00
苏州市大富通信技术有限公司;-;2017-12-31;100.00
深圳市大富精工有限公司;-;2017-12-31;100.00
安徽省大富重工技术有限公司;-;2017-12-31;100.00
安徽省大富机电技术有限公司;-;2017-12-31;100.00
安徽大富重工机械有限公司;-;2017-12-31;100.00
深圳市大富方圆成型技术有限公司;-;2017-12-31;72.00
深圳市大富网络技术有限公司;-;2017-12-31;70.00
深圳市大富超精加工技术有限公司;-;2017-12-31;70.00
广州大凌实业股份有限公司;835379.OC;2017-12-31;51.00
乌兰察布市大盛石墨新材料有限公司;-;2017-12-31;49.00
深圳市华阳微电子股份有限公司;833363.OC;2017-12-31;48.68
安徽省大富光电科技有限公司;-;2017-12-31;45.00
广州天通智能技术有限公司;-;2017-12-31;30.00
天津三卓韩一橡塑科技股份有限公司;837704.OC;2017-12-31;24.00
