参控股名称;股票代码;报告期;持股比例(%)
秦皇岛天业通联重工科技有限公司;-;2017-12-31;100.00
天业通联(天津)有限公司;-;2017-12-31;100.00
通玛科国际有限公司;-;2017-12-31;100.00
秦皇岛天创科技有限公司;-;2017-12-31;100.00
东方万联有限公司;-;2017-12-31;100.00
卓越联合有限公司;-;2017-12-31;100.00
北京天业通联科技有限公司;-;2017-12-31;100.00
北京天业通联投资管理有限公司;-;2017-12-31;100.00
秦皇岛天联重工有限公司;-;2017-12-31;100.00
秦皇岛天骥重工有限公司;-;2017-12-31;100.00
秦皇岛天工重工有限公司;-;2017-12-31;100.00
秦皇岛宁海重工有限公司;-;2017-12-31;100.00
上海通联重型车辆有限公司;-;2015-12-31;79.17
敖汉银亿矿业有限公司;-;2015-12-31;15.00
Società Esecuzione Lavori Idraulici S.P.A.;-;2016-12-15;0.54
