参控股名称;股票代码;报告期;持股比例(%)
OXIRAN(SINGAPORE)TRADING PTE.LTD.;-;2017-12-31;100.00
吉林奥克新材料有限公司;-;2017-12-31;100.00
广东奥克化学有限公司;-;2017-12-31;100.00
武汉奥克化学有限公司;-;2017-12-31;100.00
南昌赛维LDK光伏科技工程有限公司;-;2017-12-31;100.00
西藏奥克化学销售有限公司;-;2017-12-31;100.00
上海悉浦奥进出口有限公司;-;2017-12-31;100.00
阜宁利仁新能源有限公司;-;2017-12-31;100.00
辽宁奥克新材料有限公司;-;2017-12-31;100.00
江苏奥克化学有限公司;-;2017-12-31;100.00
格尔木阳光能源电力有限公司;-;2017-12-31;100.00
奥克化学(滕州)有限公司;-;2017-12-31;81.00
扬州奥克石化仓储有限公司;-;2017-12-31;52.00
四川奥克石达化学股份有限公司;-;2017-12-31;51.00
南京扬子奥克化学有限公司;-;2017-12-31;50.00
武汉吉和昌新材料股份有限公司;832073.OC;2017-12-31;38.80
上海东硕环保科技股份有限公司;836487.OC;2017-12-31;37.00
