参控股名称;股票代码;报告期;持股比例(%)
北京六间房科技有限公司;-;2017-12-31;100.00
浙江宋城娱乐文化传媒有限公司;-;2017-12-31;100.00
浙江宋城龙泉山旅游开发有限公司;-;2017-12-31;100.00
杭州宋城科技发展有限公司;-;2017-12-31;100.00
宋城演艺国际发展有限公司;-;2017-12-31;100.00
张家界千古情演艺发展有限公司;-;2017-12-31;100.00
杭州宋城艺术团有限公司;-;2017-12-31;100.00
杭州乐园有限公司;-;2017-12-31;100.00
三亚千古情旅游演艺有限公司;-;2017-12-31;100.00
丽江茶马古城旅游发展有限公司;-;2017-12-31;100.00
武夷山武夷千古情旅游发展有限公司;-;2017-12-31;100.00
宋城演艺发展(上海)有限公司;-;2017-12-31;100.00
宋城演出经营管理有限公司;-;2017-12-31;100.00
杭州宋城独木桥网络科技有限公司;-;2015-12-31;100.00
泰安千古情旅游演艺有限公司;-;2015-12-31;100.00
泰安宋城演艺发展有限公司;-;2015-12-31;100.00
石林宋城旅游演艺有限公司;-;2015-12-31;100.00
保定六间房信息科技有限公司;-;2015-12-31;100.00
上海宋城世博演艺发展有限公司;-;2017-12-31;88.00
阿坝州九寨千古情旅游发展有限公司;-;2017-12-31;80.00
桂林漓江千古情演艺发展有限公司;-;2017-12-31;70.00
九寨沟县藏谜文化传播有限公司;-;2017-12-31;60.00
杭州宋城本末映画文化创意有限公司;-;2015-12-31;60.00
大盛国际传媒集团有限公司;-;2015-12-31;35.00
