参控股名称;股票代码;报告期;持股比例(%)
北京川大智胜科技有限公司;-;2017-12-31;100.00
成都智胜三维应用技术有限责任公司;-;2017-12-31;100.00
成都智胜新视觉科技有限公司;-;2017-12-31;100.00
四川川大智胜软件销售有限公司;-;2017-12-31;90.00
成都智胜航安科技有限公司;-;2017-12-31;85.00
深圳市川大智胜科技发展有限公司;-;2017-12-31;60.00
成都智飞航空科技有限公司;-;2017-12-31;60.00
四川智胜视界科技有限责任公司;-;2017-12-31;51.00
北京威胜通达科技有限公司;-;2017-12-31;50.96
南京川大智胜软件开发有限公司;-;2017-12-31;45.00
四川华控图形科技有限公司;-;2017-12-31;44.80
四川川大智胜系统集成有限公司;-;2017-12-31;25.00
北京华安天诚科技有限公司;-;2017-12-31;23.08
深圳市智胜慧通科技有限公司;-;2017-12-31;20.00
天津华翼蓝天科技股份有限公司;835512.OC;2018-04-23;2.20
