参控股名称;股票代码;报告期;持股比例(%)
上海拉夏贝尔休闲服饰有限公司;-;2017-12-31;100.00
重庆乐微服饰有限公司;-;2017-12-31;100.00
北京拉夏乐微服饰有限公司;-;2017-12-31;100.00
成都拉夏贝尔服饰有限公司;-;2017-12-31;100.00
上海微乐服饰有限公司;-;2017-12-31;100.00
上海朗赫服饰有限公司;-;2017-12-31;100.00
上海夏微服饰有限公司;-;2017-12-31;100.00
拉夏贝尔服饰(天津)有限公司;-;2017-12-31;100.00
成都乐微服饰有限公司;-;2017-12-31;100.00
上海优饰服饰有限公司;-;2017-12-31;100.00
福建乐微服饰有限公司;-;2017-12-31;100.00
上海拉夏企业管理有限公司;-;2017-12-31;100.00
诺杏(上海)服饰有限公司;-;2017-12-31;100.00
嘉拓(上海)信息技术有限公司;-;2017-12-31;100.00
拉夏贝尔服饰(太仓)有限公司;-;2017-12-31;95.00
上海崇安服饰有限公司;-;2017-12-31;85.00
杰克沃克(上海)服饰有限公司;-;2017-12-31;69.00
上海乐欧服饰有限公司;-;2017-12-31;65.00
上海九蜗服饰有限公司;-;2017-12-31;60.00
杭州黯涉电子商务有限公司;-;2017-12-31;54.00
