参控股名称;股票代码;报告期;持股比例(%)
东莞市中电桑达科技有限公司;-;2017-12-31;100.00
中国振华(集团)新云电子元器件有限责任公司;-;2017-12-31;100.00
中国振华集团永光电子有限公司(国营第八七三厂);-;2017-12-31;100.00
中国振华集团云科电子有限公司;-;2017-12-31;100.00
深圳振华富电子有限公司;-;2017-12-31;100.00
贵州振华华联电子有限公司;-;2017-12-31;100.00
贵州振华群英电器有限公司;-;2017-12-31;100.00
贵州省振华电子工业进出口公司;-;2017-12-31;100.00
中国振华电子集团新天动力有限公司;-;2017-12-31;100.00
中国振华电子集团建新机电有限公司;-;2017-12-31;100.00
中国振华电子集团宇光电工有限公司(国营第七七一厂);-;2017-12-31;100.00
贵州振华天通设备有限公司;-;2017-12-31;95.00
东莞市振华新能源科技有限公司;-;2017-12-31;93.95
深圳市振华微电子有限公司;-;2017-12-31;87.53
深圳市振华通信设备有限公司;-;2017-12-14;76.53
贵州振华电子信息产业技术研究有限公司;-;2017-12-31;51.00
振华集团深圳电子有限公司;-;2017-12-31;43.77
振华集团财务有限责任公司;-;2017-12-31;35.00
贵州建新南海科技股份有限公司;-;2017-12-31;20.00
