参控股名称;股票代码;报告期;持股比例(%)
ZPMC Netherlands Coperatie U.A.;-;2017-12-31;100.00
ZPMC Netherlands B.V.;-;2017-12-31;100.00
ZPMC GmbH Hamburg;-;2017-12-31;100.00
ZPMC North America Inc.;-;2017-12-31;100.00
ZPMC ENGINEERING AFRICA(PTY) LTD.;-;2017-12-31;100.00
ZPMC Engineering (India) Private Limited;-;2017-12-31;100.00
ZPMC Southeast Asia Holding Pte. Ltd.;-;2017-12-31;100.00
ZPMC Australia Company (Pty) Ltd.;-;2017-12-31;100.00
上海振华重工港机通用装备有限公司;-;2017-12-31;100.00
ZPMC UK LD;-;2017-12-31;100.00
ZPMC Middle East Fze;-;2017-12-31;100.00
上海振华重工集团(南通)传动机械有限公司;-;2017-12-31;100.00
南京宁高新通道建设有限公司;-;2017-12-31;100.00
南通振华重型装备制造有限公司;-;2017-12-31;100.00
上海振华重工电气有限公司;-;2017-12-31;100.00
上海振华海洋工程服务有限公司;-;2017-12-31;100.00
上海振华检测技术咨询有限公司;-;2017-12-31;100.00
上海振华港口机械(香港)有限公司;-;2017-12-31;99.99
上海振华港机重工有限公司;-;2017-12-31;94.76
上海振华重工(集团)张家港港机有限公司;-;2017-12-31;90.00
ZPMC Limited Liability Company;-;2017-12-31;85.00
ZPMC Brazil Servico Portuarios LTDA;-;2017-12-31;80.00
江阴振华港机钢结构制作有限公司;-;2017-12-31;75.00
ZPMC Lanka Company(Private) Limited;-;2017-12-31;70.00
ZPMC Korea Co., Ltd.;-;2017-12-31;70.00
中交镇江投资建设管理发展有限公司;-;2017-12-31;70.00
上海振华重工启东海洋工程股份有限公司;-;2017-12-31;67.00
上海振华船运有限公司;-;2017-12-31;55.00
ZPMC Mediterranean Liman;-;2017-12-31;50.00
江苏龙源振华海洋工程有限公司;-;2017-12-31;50.00
