参控股名称;股票代码;报告期;持股比例(%)
深圳市易联技术有限公司;-;2017-12-31;100.00
浙江中正智能科技有限公司;-;2017-12-31;100.00
深圳市新国都支付技术有限公司;-;2017-12-31;100.00
深圳市信联征信有限公司;-;2017-12-31;100.00
Exadigm,Inc.;-;2017-12-31;100.00
深圳市新国都金服软件有限公司;-;2017-12-31;100.00
长沙公信诚丰信息技术服务有限公司;-;2017-12-31;100.00
长沙法度互联网科技有限公司;-;2017-12-31;100.00
杭州中宗电子有限公司;-;2017-12-31;100.00
巴西NEXGO控股有限责任公司;-;2017-12-31;100.00
嘉联支付有限公司;-;2018-04-19;100.00
南京市新国都技术有限公司;-;2016-06-28;100.00
广州市新国都信息科技有限公司;-;2015-12-31;100.00
苏州新国都电子技术有限公司;-;2017-12-31;96.32
深圳市新国都末微技术服务有限公司;-;2017-12-31;60.00
深圳市大拿科技有限公司;-;2017-11-15;30.00
深圳市瑞柏泰电子有限公司;-;2016-06-28;20.00
信美人寿相互保险社;-;2017-05-11;5.00
