参控股名称;股票代码;报告期;持股比例(%)
升兴(香港)有限公司;-;2017-06-30;100.00
升兴(昆明)包装有限公司;-;2017-06-30;100.00
福建升兴云物联网科技有限公司;-;2017-06-30;80.00
升兴(福州)瓶盖有限公司;-;2017-06-30;80.00
升兴(山东)包装有限公司;-;2017-06-30;75.00
升兴(郑州)包装有限公司;-;2017-06-30;75.00
升兴(安徽)包装有限公司;-;2017-06-30;75.00
升兴(江西)包装有限公司;-;2017-06-30;75.00
升兴(北京)包装有限公司;-;2017-06-30;75.00
升兴(中山)包装有限公司;-;2017-06-30;75.00
升兴(河北)包装有限公司;-;2015-12-31;75.00
温州博德科技有限公司;-;2017-06-30;70.00
升兴博德新材料温州有限公司;-;2017-06-30;70.00
恒兴(福建)易拉盖工业有限公司;-;2017-06-30;55.00
广东昌胜照明科技有限公司;-;2017-06-30;51.00
福州创星互娱网络科技有限公司;-;2017-02-28;20.00
