参控股名称;股票代码;报告期;持股比例(%)
武汉市普路通供应链管理有限公司;-;2017-12-31;100.00
北海市普路通供应链管理有限公司;-;2017-12-31;100.00
深圳市前海瑞智供应链管理有限公司;-;2017-12-31;100.00
武汉市瑞盈通供应链管理有限公司;-;2017-12-31;100.00
广西普路通供应链管理有限公司;-;2017-12-31;100.00
深圳市普路通实业有限公司;-;2017-12-31;100.00
一带一路信息咨询(深圳)有限公司;-;2017-12-31;100.00
河南特通贸易有限公司;-;2017-12-31;100.00
厦门市普路通供应链管理有限公司;-;2017-12-31;100.00
郑州市普路通供应链管理有限公司;-;2017-12-31;100.00
重庆市普路通供应链管理有限公司;-;2017-12-31;100.00
深圳市前海普路通电子商务综合服务有限公司;-;2017-12-31;100.00
深圳市联动量子股权投资管理有限公司;-;2017-12-31;100.00
武汉市瑞亿通供应链管理有限公司;-;2017-12-31;100.00
珠海市普路通供应链管理有限公司;-;2017-12-31;100.00
香港瑞通国际有限公司;-;2017-12-31;100.00
武汉东湖综保区普路通供应链管理有限公司;-;2017-12-31;100.00
成都和普时代商贸有限公司;-;2017-12-31;100.00
深圳市前海普路通供应链管理有限公司;-;2015-12-31;100.00
武汉东湖综保区普路通供应链管168理有限公司;-;2015-12-31;100.00
