参控股名称;股票代码;报告期;持股比例(%)
湖南正虹海原绿色食品有限公司;-;2017-12-31;100.00
石家庄正虹饲料有限公司;-;2017-12-31;100.00
安徽滁州正虹饲料有限公司;-;2017-12-31;100.00
正虹集团(宿迁)农业发展有限公司;-;2017-12-31;100.00
南通正虹饲料有限公司;-;2017-12-31;100.00
焦作正虹饲料有限公司;-;2017-12-31;100.00
驻马店正虹饲料有限公司;-;2017-12-31;100.00
亳州正虹饲料有限公司;-;2017-12-31;100.00
岳阳正虹贸易发展有限公司;-;2017-12-31;100.00
安徽淮北正虹饲料有限责任公司;-;2017-12-31;100.00
武汉正虹饲料有限公司;-;2017-12-31;100.00
岳阳市正飞饲料有限公司;-;2017-12-31;100.00
北京正虹生物科技有限公司;-;2017-12-31;100.00
宜兴正虹饲料有限公司;-;2017-12-31;100.00
岳阳湘城置业有限公司;-;2017-12-31;100.00
上海正虹贸易发展有限公司;-;2017-12-31;89.99
湖南正虹生态农业有限责任公司;-;2017-12-31;70.00
湖南正虹联众饲料科技有限公司;-;2017-12-31;70.00
山东省昌邑正虹饲料有限公司;-;2017-12-31;51.00
宿迁荣义牧业有限公司;-;2017-12-31;30.00
湖南合一正虹农牧有限公司;-;2017-12-31;25.00
