参控股名称;股票代码;报告期;持股比例(%)
安徽省宁国市江南油相材料有限公司;-;2017-12-31;100.00
安徽易泰民爆器材有限公司;-;2017-12-31;100.00
宁国市平安爆破服务有限公司;-;2017-12-31;100.00
安徽江南爆破工程有限公司;-;2017-12-31;99.53
四川宇泰特种工程技术有限公司;-;2017-12-31;91.98
安徽向科化工有限公司;-;2017-12-31;90.36
四川省绵竹兴远特种化工有限公司;-;2017-12-31;86.25
新疆天河化工有限公司;-;2017-12-31;85.38
湖北金兰特种金属材料有限公司;-;2017-12-31;83.50
湖北帅力化工有限公司;-;2017-12-31;81.00
福建漳州久依久化工有限公司;-;2017-12-31;77.50
河南华通化工有限公司;-;2017-12-31;75.50
安徽江南晶盛新材料有限公司;-;2017-12-31;70.00
四川省南部永生化工有限责任公司;-;2017-12-31;55.00
南京理工科技化工有限责任公司;-;2017-12-31;55.00
江苏剑峤化工有限公司;-;2017-12-31;55.00
马鞍山江南化工有限责任公司;-;2017-12-31;51.00
安徽恒源技研化工有限公司;-;2017-12-31;49.00
中金立华工业工程服务有限公司;-;2017-12-31;49.00
安徽中金立华矿业工程有限公司;-;2017-12-31;49.00
广安市联发民用爆破工程有限公司;-;2017-12-31;45.00
克州金盾保安押运有限责任公司;-;2017-12-31;44.54
芜湖市鑫泰民爆物品有限责任公司;-;2017-12-31;40.00
西昌永盛实业有限责任公司;-;2017-12-31;20.00
新疆雪峰科技(集团)股份有限公司;603227.SH;2018-04-27;7.72
