参控股名称;股票代码;报告期;持股比例(%)
山东海螺型材有限责任公司;-;2017-12-31;100.00
宝鸡海螺型材有限责任公司;-;2017-12-31;100.00
芜湖海螺挤出装备有限公司;-;2017-12-31;100.00
芜湖海螺新材料有限公司;-;2017-12-31;100.00
芜湖海螺门窗有限责任公司;-;2017-12-31;100.00
上海海螺型材有限责任公司;-;2017-12-31;100.00
北京海螺型材有限责任公司;-;2017-12-31;100.00
芜湖海螺型材贸易有限责任公司;-;2017-12-31;100.00
英德海螺型材有限责任公司;-;2015-12-31;100.00
新疆海螺型材有限责任公司;-;2015-12-31;100.00
成都海螺型材有限责任公司;-;2015-12-31;100.00
安徽海螺彩色印刷有限公司;-;2015-12-31;100.00
淮安海螺型材有限责任公司;-;2015-12-31;60.14
宁波海螺塑料型材有限责任公司;-;2017-12-31;60.00
唐山海螺型材有限责任公司;-;2017-12-31;60.00
长春海螺型材有限责任公司;-;2017-12-31;60.00
无锡海螺型材科技有限公司;-;2015-12-31;55.83
贵阳海螺门窗有限公司;-;2015-12-31;40.00
武汉海螺型材有限责任公司;-;2015-12-31;33.90
和田海螺型材有限责任公司;-;2017-12-31;10.00
