参控股名称;股票代码;报告期;持股比例(%)
现代财富资本管理有限公司;-;2017-12-31;100.00
大有期货有限公司;-;2017-12-31;100.00
湖南省溆怀高速公路建设开发有限公司;-;2017-12-31;100.00
现代环境科技投资有限公司;-;2017-12-31;100.00
湖南现代投资资产经营管理有限公司;-;2017-12-31;100.00
湖南省现代融资担保有限公司;-;2017-12-31;90.00
长沙市天心区安迅小额贷款有限公司;-;2017-12-31;70.00
湖南现代房地产有限公司;-;2017-12-31;70.00
湖南省怀芷高速公路建设开发有限公司;-;2017-12-31;65.00
华捷保险代理有限责任公司;-;2017-12-31;51.00
湖南澧县农村商业银行股份有限公司;-;2017-12-31;28.00
湖南安乡农村商业银行股份有限公司;-;2017-12-31;27.00
湖南祁东农村商业银行股份有限公司;-;2017-12-31;25.00
怀化农村商业银行股份有限公司;-;2017-12-31;20.00
中方县农村商业银行股份有限公司;-;2017-12-31;20.00
湖南湘潭天易农村商业银行股份有限公司;-;2017-12-31;20.00
长沙农村商业银行股份有限公司;-;2017-12-31;7.00
