参控股名称;股票代码;报告期;持股比例(%)
杭州中富容器有限公司;-;2017-12-31;100.00
珠海市中富热灌装瓶有限公司;-;2017-12-31;100.00
珠海中富聚酯啤酒瓶有限公司;-;2017-12-31;100.00
湛江中富容器有限公司;-;2017-12-31;100.00
长沙中富容器有限公司;-;2017-12-31;100.00
长沙中富瓶胚有限公司;-;2017-12-31;100.00
南宁诚意包装有限公司;-;2017-12-31;100.00
新疆中富包装有限公司;-;2017-12-31;100.00
乌鲁木齐富田食品有限公司;-;2017-12-31;100.00
昆山中富瓶胚有限公司;-;2017-12-31;100.00
昆山中强瓶胚有限公司;-;2017-12-31;100.00
成都中富瓶胚有限公司;-;2017-12-31;100.00
重庆中富联体容器有限公司;-;2017-12-31;100.00
天津中富瓶胚有限公司;-;2017-12-31;100.00
天津中富胶膜有限公司;-;2017-12-31;100.00
天津乐富容器有限公司;-;2017-12-31;100.00
太原中富联体容器有限公司;-;2017-12-31;100.00
河南中富容器有限公司;-;2017-12-31;100.00
兰州中富容器有限公司;100229.GSE;2017-12-31;100.00
青岛中富联体容器有限公司;-;2017-12-31;100.00
沈阳中富瓶胚有限公司;-;2017-12-31;100.00
长春乐富容器有限公司;-;2017-12-31;100.00
哈尔滨中富联体容器有限公司;-;2017-12-31;100.00
河南中富瓶胚有限公司;-;2017-12-31;100.00
温州中富塑料容器有限公司;-;2017-12-31;100.00
重庆嘉富容器有限公司;-;2017-12-31;100.00
南宁富田食品有限公司;-;2017-12-31;100.00
南昌中富容器有限公司;-;2017-12-31;100.00
福州嘉富包装有限公司;-;2017-12-31;100.00
重庆乐富包装有限公司;-;2017-12-31;100.00
