参控股名称;股票代码;报告期;持股比例(%)
永登祁连山水泥有限公司;-;2017-12-31;100.00
甘谷祁连山水泥有限公司;-;2017-12-31;100.00
陇南祁连山水泥有限公司;-;2017-12-31;100.00
兰州祁连山汉邦混凝土工程有限公司;-;2017-12-31;100.00
天水祁连山水泥有限公司;-;2017-12-31;100.00
兰州祁连山混凝土工程有限公司;-;2017-12-31;100.00
平凉祁连山水泥有限公司;-;2017-12-31;100.00
青海祁连山水泥有限公司;-;2017-12-31;100.00
成县祁连山水泥有限公司;-;2017-12-31;100.00
漳县祁连山水泥有限公司;-;2017-12-31;100.00
兰州祁连山水泥商砼有限公司;-;2017-12-31;100.00
定西祁连山商砼有限公司;-;2017-12-31;100.00
古浪祁连山水泥有限公司;-;2017-12-31;100.00
玉门祁连山水泥有限公司;-;2017-12-31;100.00
平安祁连山商砼有限公司;-;2017-12-31;100.00
武威祁连山商砼有限公司;-;2017-12-31;100.00
甘谷祁连山商砼有限公司;-;2017-12-31;100.00
兰州中川祁连山商砼有限公司;-;2017-12-31;100.00
肃南祁连山水泥有限公司;-;2017-12-31;100.00
兰州永固祁连山水泥有限公司;-;2017-12-31;74.20
夏河祁连山安多水泥有限公司;-;2017-12-31;65.00
文县祁连山水泥有限公司;-;2017-12-31;60.00
酒钢(集团)宏达建材有限责任公司;-;2017-12-31;60.00
兰州红古祁连山水泥股份有限公司;-;2017-12-31;53.89
西藏中材祁连山水泥有限公司;-;2017-12-31;42.00
酒钢(公司)宏达建材有限责任公司;-;2017-12-31;30.00
甘肃张掖巨龙建材有限责任公司;103058.GSE;2017-12-31;26.00
兰州兰石重型装备股份有限公司;603169.SH;2018-03-31;1.76
