参控股名称;股票代码;报告期;持股比例(%)
丹江口市神雾节能炉窑有限公司;-;2017-06-30;100.00
神雾环保技术新疆有限公司;-;2017-06-30;100.00
诸暨天立环保节能技术有限公司;-;2017-06-30;100.00
吉林省慧信科技有限公司;-;2017-06-30;100.00
科右中旗都凌煤化工有限责任公司;-;2017-06-30;100.00
东乌珠穆沁旗白音高勒能源有限公司;-;2017-06-30;100.00
北京安泽环境工程科技有限公司;-;2017-06-30;100.00
洪阳冶化工程科技有限公司;-;2017-06-30;100.00
内蒙古创科清洁能源技术有限公司;-;2017-06-30;100.00
内蒙古安捷新能源科技有限公司;-;2017-06-30;100.00
霍尔果斯隆汇环保工程技术有限公司;-;2017-06-30;100.00
乌海洪远新能源科技有限公司;-;2015-12-31;100.00
北京华福环境工程科技有限公司;-;2015-12-31;100.00
呼和浩特市天旺矿业有限责任公司;-;2015-12-31;85.00
九江隆福矿业有限公司;-;2015-12-31;65.00
兴安盟科洁新能源有限公司;-;2017-06-30;51.00
江西隆福矿业有限公司;-;2017-05-17;51.00
新疆圣雄能源股份有限公司;-;2016-01-30;6.28
