参控股名称;股票代码;报告期;持股比例(%)
上海万好万家投资管理有限公司;-;2017-12-31;100.00
大连港源鹏宇建筑装饰工程有限公司;-;2017-12-31;100.00
承达宜居有限公司;-;2017-12-31;100.00
承达木材制品有限公司;-;2017-12-31;100.00
霍尔果斯翔通信息科技有限公司;-;2017-12-31;100.00
霍尔果斯万家游戏信息科技有限公司;-;2017-12-31;100.00
霍尔果斯讯宇创世信息科技有限公司;-;2017-12-31;100.00
浙江祥阅科技有限公司;-;2017-12-31;100.00
杭州万好万家股权投资有限公司;-;2015-12-31;100.00
厦门翔通动漫有限公司;-;2015-12-31;100.00
浙江万好万家商业经营管理有限公司;-;2015-12-31;100.00
浙江融易联融资租赁有限公司;-;2017-12-31;75.00
承达投资有限公司;-;2017-12-31;71.00
浙江众联在线资产管理有限公司;-;2015-12-31;51.00
北京万好万家电子竞技传媒有限公司;-;2015-12-31;46.00
厦门腾游信息技术有限公司;-;2017-12-31;40.00
