参控股名称;股票代码;报告期;持股比例(%)
福建省鸿山热电有限责任公司;-;2017-12-31;100.00
福建省福能新能源有限责任公司;-;2017-12-31;100.00
福建南纺有限责任公司;-;2017-12-31;100.00
福建福能配售电有限责任公司;-;2017-12-31;100.00
福建省配电售电有限责任公司;-;2017-12-31;100.00
福建晋江天然气发电有限公司;-;2017-12-31;75.00
福建省福能龙安热电有限公司;-;2017-12-31;65.00
福建福能东南热电有限责任公司;-;2017-12-31;65.00
福建福能股权投资管理有限公司;-;2017-12-31;51.00
华润电力(六枝)有限公司;-;2018-03-28;51.00
福建省石狮热电有限责任公司;-;2017-12-31;46.67
海峡发电有限责任公司;-;2017-12-31;35.00
国核(福建)核电有限公司;-;2017-12-31;35.00
国电泉州热电有限公司;-;2017-12-31;23.00
中核霞浦核电有限公司;-;2017-12-31;20.00
华润电力(温州)有限公司;-;2018-03-28;20.00
福建省能源集团财务有限公司;-;2017-12-31;10.00
华能霞浦核电有限公司;-;2017-12-31;10.00
福建宁德第二核电有限公司;-;2017-12-31;10.00
福建南平太阳电缆股份有限公司;002300.SZ;2016-12-31;0.79
