参控股名称;股票代码;报告期;持股比例(%)
广东粤电安信电力检修安装有限公司;-;2017-06-30;100.00
广东粤电博贺煤电有限公司;-;2017-06-30;100.00
广东粤电大埔发电有限公司;-;2017-06-30;100.00
广东粤电电力销售有限公司;-;2017-06-30;100.00
广东粤电曲界风力发电有限公司;-;2017-06-30;100.00
临沧粤电能源有限公司;-;2017-06-30;100.00
深圳市广前电力有限公司;-;2017-06-30;100.00
广东省风力发电有限公司;-;2017-06-30;100.00
广东省韶关粤江发电有限责任公司;-;2017-06-30;90.00
湛江中粤能源有限公司;-;2017-06-30;90.00
广东粤电永安天然气热电有限公司;-;2017-06-30;90.00
广东惠州天然气发电有限责任公司;-;2017-06-30;84.31
广东粤电雷州风力发电有限公司;-;2017-06-30;80.00
湛江电力有限公司;-;2017-06-30;76.00
广东粤电湛江风力发电有限公司;-;2017-06-30;70.00
广东省惠州天然气发电有限公司;-;2017-06-30;67.00
茂名臻能热电有限公司;-;2017-06-30;66.61
广东粤电靖海发电有限公司;-;2017-06-30;65.00
广东粤电花都天然气热电有限公司;-;2017-06-30;65.00
广东红海湾发电有限公司;-;2017-06-30;65.00
广东粤电虎门发电有限公司;-;2017-06-30;60.00
广东粤嘉电力有限公司;-;2017-06-30;58.00
广东省电力工业燃料有限公司;-;2017-06-30;50.00
粤电广东粤电财产保险自保有限公司;-;2017-06-30;49.00
广东惠州平海发电厂有限公司;-;2017-06-30;45.00
山西粤电能源有限公司;-;2017-06-30;40.00
广东粤电财务有限公司;-;2017-06-30;25.00
广东国华粤电台山发电有限公司;-;2017-06-30;20.00
申能股份有限公司;600642.SH;2018-03-31;1.22
深圳能源集团股份有限公司;000027.SZ;2018-03-31;0.32
