参控股名称;股票代码;报告期;持股比例(%)
Greencourt Investment Co.,Ltd.;-;2017-12-31;100.00
Vesta Group L.P.;-;2017-12-31;100.00
Vesta Investment Inc.;-;2017-12-31;100.00
One Media Group.LLC;-;2017-12-31;100.00
Greencourt Capital L.P.;-;2017-12-31;100.00
Greencourt Capital Inc.;-;2017-12-31;100.00
Greencourt Group LLC;-;2017-12-31;100.00
Greencourt Investors LLC;-;2017-12-31;100.00
上海绿庭亘融商务咨询合伙企业(有限合伙);-;2017-12-31;100.00
上海绿庭严善投资管理中心(有限合伙);-;2017-12-31;100.00
Gelangte I L.P;-;2017-12-31;100.00
合肥大江食品有限公司;-;2017-12-31;100.00
大江食品(香港)有限公司;-;2017-12-31;100.00
上海仁晖实业有限公司;-;2017-12-31;100.00
浩鑫(香港)有限公司;-;2017-12-31;100.00
上海瑞谐企业管理有限公司;-;2017-12-31;100.00
上海瑞茨企业管理有限公司;-;2017-12-31;100.00
上海绿庭盈乘商业管理有限公司;-;2017-12-31;100.00
绿庭环球投资管理有限公司;-;2017-12-31;100.00
上海绿庭资产管理有限公司;-;2017-12-31;100.00
上海绿庭丰蓉投资管理有限公司;-;2017-12-31;100.00
上海亘通行融资租赁有限公司;-;2017-12-31;100.00
上海惠寓文化传媒有限公司;-;2017-12-31;100.00
上海大江盈夏食品有限公司;-;2017-12-31;100.00
上海昊购电子商务有限公司;-;2017-12-31;100.00
上海亘通投资管理有限公司;-;2017-12-31;100.00
西藏亘融创业投资管理有限公司;-;2017-12-31;100.00
上海大江晟欣食品有限公司;-;2017-12-31;100.00
上海亘通行商业保理有限公司;-;2017-12-31;100.00
香港绿庭投资有限公司;-;2017-12-31;100.00
