参控股名称;股票代码;报告期;持股比例(%)
江西联创致光科技有限公司;-;2017-12-31;100.00
江西联创照明信息技术有限公司;-;2017-12-31;100.00
上海联暄电子有限公司;-;2017-12-31;100.00
江西联创光电营销中心有限公司;-;2017-12-31;100.00
江西联创特种微电子有限公司;-;2017-12-31;100.00
江西联创电缆有限公司;-;2017-12-31;93.30
江西联融新光源协同创新有限公司;-;2017-12-31;81.88
江西联创电缆科技股份有限公司;871701.OC;2017-12-31;78.72
江西联创贝晶光电有限公司;-;2017-12-31;75.00
南昌欣磊光电科技有限公司;-;2017-12-31;74.00
深圳市联志光电科技有限公司;-;2017-12-31;70.00
上海信茂新技术有限公司;-;2017-12-31;51.00
厦门华联电子股份有限公司;872122.OC;2017-12-31;50.01
北方联创通信有限公司;-;2017-12-31;33.00
厦门宏发电声股份有限公司;-;2017-12-31;22.04
