参控股名称;股票代码;报告期;持股比例(%)
南京长峰航天电子科技有限公司;-;2017-12-31;100.00
北京欧地安科技有限公司;-;2017-12-31;100.00
福州福发发电设备有限公司;-;2017-12-31;100.00
福州福发发电机组有限公司;-;2017-12-31;100.00
福建凯威斯发电机有限公司;-;2017-12-31;100.00
长春安可精密电子工业有限公司;-;2015-12-31;100.00
COMMONS MICROWAVE COMPANY LTD;-;2015-12-31;100.00
南京波平电子科技有限公司;-;2015-12-31;100.00
南京波平电子制造有限公司;-;2015-12-31;100.00
长屏(北京)电磁防护技术有限公司;-;2015-12-31;100.00
航天科工系统仿真科技(北京)有限公司;-;2017-12-31;90.00
南京长峰航天电子技术有限公司;-;2015-12-31;85.00
重庆军通机电有限责任公司;-;2015-12-31;74.94
重庆金美通信有限责任公司;-;2017-12-31;69.23
北京航天恒容电磁科技有限公司;-;2017-12-31;51.00
