参控股名称;股票代码;报告期;持股比例(%)
中国葛洲坝集团水泥有限公司;-;2017-12-31;100.00
中国葛洲坝集团公路运营有限公司;-;2017-12-31;100.00
中国葛洲坝集团水务运营有限公司;-;2017-12-31;100.00
中国葛洲坝集团房地产开发有限公司;-;2017-12-31;100.00
中国葛洲坝集团国际工程有限公司;-;2017-12-31;100.00
中国葛洲坝集团绿园科技有限公司;-;2017-12-31;100.00
中国葛洲坝集团勘测设计有限公司;-;2017-12-31;100.00
中国葛洲坝集团投资控股有限公司;-;2017-12-31;100.00
中国葛洲坝集团装备工业有限公司;-;2017-12-31;100.00
葛洲坝集团第一工程有限公司;-;2017-12-31;99.10
中国葛洲坝集团第五工程有限公司;-;2017-12-31;99.09
中国葛洲坝集团第六工程有限公司;-;2017-12-31;99.03
四川葛洲坝巴通万高速公路有限公司;-;2017-12-31;99.00
中国葛洲坝集团三峡建设工程有限公司;-;2017-12-31;99.00
中国葛洲坝集团机械船舶有限公司;-;2017-12-31;99.00
中国葛洲坝集团基础工程有限公司;-;2017-12-31;99.00
中国葛洲坝集团电力有限责任公司;-;2017-12-31;99.00
中国葛洲坝集团机电建设有限公司;-;2017-12-31;99.00
中国葛洲坝集团第二工程有限公司;-;2017-12-31;98.99
葛洲坝集团四川内遂高速公路有限公司;-;2017-12-31;98.55
湖北大广北高速公路有限责任公司;-;2017-12-31;98.44
北京葛洲坝正和于永水环境治理有限公司;-;2017-12-31;95.00
葛洲坝新扶(南宁)公路建设投资有限公司;-;2017-12-31;95.00
湖北武汉葛洲坝实业有限公司;-;2017-12-31;91.52
葛洲坝水务(荆门)有限公司;-;2017-12-31;90.00
福州市江阴工业区葛洲坝填海投资有限公司;-;2017-12-31;90.00
葛洲坝(海口)水环境治理投资有限公司;-;2017-12-31;80.00
葛洲坝(海口)引水工程投资有限公司;-;2017-12-31;80.00
中国葛洲坝集团海外投资有限公司;-;2017-12-31;79.78
中国葛洲坝集团置业有限公司;-;2017-12-31;75.75
