参控股名称;股票代码;报告期;持股比例(%)
嘉兴赞宇科技有限公司;-;2017-06-30;100.00
河北赞宇科技有限公司;-;2017-06-30;100.00
KINGMOUNT INTERNATION AL PTE. LTD.;-;2017-06-30;100.00
浙江赞宇新材有限公司;-;2017-06-30;100.00
浙江赞宇检测技术有限公司;-;2017-06-30;100.00
杭州油脂化工有限公司;-;2017-06-30;100.00
浙江宏正检测有限公司;-;2015-12-31;75.00
邵阳市赞宇科技有限公司;-;2017-06-30;70.00
四川赞宇科技有限公司;-;2017-06-30;70.00
杭州市环境检测科技有限公司;-;2016-01-18;70.00
浙江公正检验中心有限公司;-;2015-12-31;70.00
南通凯塔化工科技有限公司;-;2017-06-30;60.00
PT Dua Kuda Indonesia;-;2017-06-30;60.00
PT. DUA KUDA INDONESIA;-;2016-09-05;60.00
江苏赞宇科技有限公司;-;2017-06-30;51.00
浙江赞宇科地股权投资合伙企业(有限合伙);-;2017-06-30;32.66
