参控股名称;股票代码;报告期;持股比例(%)
北京金晶智慧有限公司;-;2017-12-31;100.00
TRIPADMA INC;-;2017-12-31;100.00
Orientrystal Hongkong Co Limited;-;2017-12-31;100.00
临沂亚虹经贸有限公司;-;2017-12-31;100.00
山东海天生物化工有限公司;-;2017-12-31;100.00
Orientrystal hong kong co. limited;-;2018-04-11;100.00
山东金晶圣戈班玻璃有限公司;-;2018-04-11;100.00
滕州金晶玻璃有限公司;-;2015-12-31;92.85
宁夏金晶科技有限公司;-;2017-12-31;80.00
山东金晶匹兹堡汽车玻璃有限公司;-;2015-12-31;60.00
淄博金星玻璃有限公司;-;2015-12-31;53.33
北京金晶绿建科技有限公司;-;2017-12-31;51.00
中材金晶玻纤有限公司;-;2017-12-31;48.05
廊坊金彪玻璃有限公司;-;2017-12-31;45.00
