参控股名称;股票代码;报告期;持股比例(%)
杭州银瑞制冷电器有限公司;-;2017-08-21;100.00
杭州银灏餐饮设备有限公司;-;2017-08-21;100.00
ATOSA CATERING EQUIPMENT UK LTD;-;2017-08-21;100.00
ATOSA CATERING EQUIPMENT INC.;-;2017-08-21;100.00
ATOSA CATERING EQUIPMENT (France) SARL;-;2017-08-21;100.00
ATOSA CATERING EQUIPMENT (Germany) GmbH;-;2017-08-21;100.00
ATOSA CATERING EQUIPMENT ITALY SRL .;-;2017-08-21;100.00
FLOW CHEER INTERNATIONAL TRADING LIMITED;-;2017-08-21;100.00
SMART KITCHEN SERVICE INC.;-;2017-08-21;100.00
ATOSA CATERING EQUIPMENT ITALY SRL;-;2016-12-31;100.00
Flow Cheer International Trading Limited;-;2016-12-31;100.00
Smart Kitchen Service Inc.;-;2016-12-31;100.00
ATOSA CATERING EQUIPMENT (FRANCE) SARL;-;2016-12-31;100.00
