参控股名称;股票代码;报告期;持股比例(%)
保定杰华汽车零部件有限公司;-;2017-12-31;100.00
保定长城华北汽车有限责任公司;-;2017-12-31;100.00
保定市格瑞机械有限公司;-;2017-12-31;100.00
保定长城汽车桥业有限公司;-;2017-12-31;100.00
保定市诺博橡胶制品有限公司;-;2017-12-31;100.00
北京格瑞特汽车零部件有限公司;-;2017-12-31;100.00
保定市长城汽车售后服务有限公司;-;2017-12-31;100.00
泰德科贸有限公司;-;2017-12-31;100.00
保定曼德汽车配件有限公司;-;2017-12-31;100.00
保定市蚂蚁物流网络有限公司;-;2017-12-31;100.00
天津博信汽车零部件有限公司;-;2017-12-31;100.00
宁夏长城汽车租赁有限公司;-;2017-12-31;100.00
保定长城再生资源利用有限公司;-;2017-12-31;100.00
保定市精工汽车模具技术有限公司;-;2017-12-31;100.00
保定威奕汽车有限公司;-;2017-12-31;100.00
哈弗汽车租赁有限公司;-;2017-12-31;100.00
上海哈弗汽车科技有限公司;-;2017-12-31;100.00
保定哈弗汽车销售有限公司;-;2017-12-31;100.00
哈弗汽车南非有限公司;-;2017-12-31;100.00
哈弗物流有限公司;-;2017-12-31;100.00
哈弗保险经纪有限公司;-;2017-12-31;100.00
保定长城报废汽车回收拆解有限公司;-;2017-12-31;100.00
长城汽车欧洲技术中心有限公司;-;2017-12-31;100.00
深圳长城汽车销售有限公司;-;2017-12-31;100.00
美国哈弗汽车有限公司;-;2017-12-31;100.00
广州长城汽车销售有限公司;-;2017-12-31;100.00
厦门长城汽车销售有限公司;-;2017-12-31;100.00
天津长城共享汽车服务有限公司;-;2017-12-31;100.00
保定长城内燃机制造有限公司;-;2015-12-31;100.00
保定信远汽车内饰件有限公司;-;2015-12-31;100.00
