参控股名称;股票代码;报告期;持股比例(%)
阳泉煤业集团天泰投资有限责任公司;-;2017-06-30;100.00
阳泉煤业集团矸石山生态恢复工程有限公司;-;2017-06-30;100.00
阳泉煤业集团昔阳煤炭销售有限公司;-;2017-06-30;100.00
阳泉煤业集团左权煤炭销售有限公司;-;2017-06-30;100.00
阳泉煤业集团寿阳煤炭销售有限公司;-;2017-06-30;100.00
阳泉煤业集团保德煤炭销售有限公司;-;2017-06-30;100.00
阳泉煤业集团平定煤炭销售有限公司;-;2017-06-30;100.00
阳泉煤业集团和顺煤炭销售有限公司;-;2017-06-30;100.00
阳泉煤业集团右玉煤炭销售有限公司;-;2017-06-30;100.00
阳泉煤业集团清徐煤炭销售有限公司;-;2017-06-30;100.00
阳泉煤业集团平鲁煤炭销售有限公司;-;2017-06-30;100.00
阳泉煤业集团翼城煤炭销售有限公司;-;2017-06-30;100.00
阳泉煤业集团盂县煤炭销售有限公司;-;2017-06-30;100.00
阳泉煤业集团安泽煤炭销售有限公司;-;2017-06-30;100.00
天津阳煤煤炭销售有限公司;-;2017-06-30;100.00
青岛阳煤煤炭销售有限公司;-;2017-06-30;100.00
阳煤股份和顺长沟洗选煤有限公司;-;2017-06-30;100.00
山西新景矿煤业有限责任公司;-;2017-06-30;100.00
阳煤集团寿阳开元矿业有限责任公司;-;2017-06-30;100.00
阳泉煤业集团西上庄低热值煤热电有限公司;-;2017-06-30;100.00
阳泉天成煤炭铁路集运有限公司;-;2017-06-30;80.00
阳煤集团寿阳景福煤业有限公司;-;2017-06-30;70.00
阳泉煤业集团创日泊里煤业有限公司;-;2017-06-30;70.00
阳泉煤业集团寿阳景福煤业有限公司;-;2015-12-31;70.00
山西平舒煤业有限公司;-;2017-06-30;56.31
晋中市阳煤扬德煤层气发电有限公司;-;2017-06-30;51.00
阳泉煤业集团财务有限责任公司;-;2017-06-30;40.00
