参控股名称;股票代码;报告期;持股比例(%)
讯美科技股份有限公司;837766.OC;2017-06-30;100.00
创联电子技术有限公司;-;2017-06-30;100.00
广州市国迈科技有限公司;-;2017-06-30;100.00
广东高领投资管理有限公司;-;2017-06-30;100.00
无锡高新兴智能交通技术有限公司;-;2017-06-30;100.00
望谟县高新兴信息技术有限公司;-;2017-06-30;100.00
喀什高新兴信息技术有限责任公司;-;2017-06-30;100.00
北屯市高新兴信息技术有限责任公司;-;2017-06-30;95.00
珠海横琴高鑫股权投资管理有限公司;-;2017-06-30;90.00
高新兴(宁乡)智慧城市运营有限责任公司;-;2017-06-30;90.00
张掖市高新兴智慧城市有限责任公司;-;2017-06-30;71.43
易方达资产管理有限公司;-;2017-06-30;64.52
天津中兴智联科技有限公司;-;2017-06-30;60.91
深圳市高新兴科技有限公司;-;2017-06-30;60.00
江苏公信软件科技发展有限公司;-;2017-06-30;51.40
清远市智城慧安信息技术有限公司;-;2017-06-30;50.00
广州高新兴机器人有限公司;-;2017-06-30;41.55
深圳市中兴物联科技有限公司;T22616.OC;2017-06-30;11.43
珠海高石股权投资基金(有限合伙);-;2017-06-30;6.39
