参控股名称;股票代码;报告期;持股比例(%)
北京大唐高鸿数据网络技术有限公司;-;2017-12-31;100.00
北京大唐高鸿软件技术有限公司;-;2017-12-31;100.00
大唐高鸿通信技术有限公司;-;2017-12-31;100.00
贵州大唐高鸿置业有限公司;-;2017-12-31;100.00
江苏高鸿鼎恒信息技术有限公司;-;2017-12-31;100.00
高鸿恒昌科技有限公司;-;2017-12-31;100.00
大唐高鸿(香港)有限公司;-;2017-12-31;100.00
大唐高鸿信息通信研究院(义乌)有限公司;-;2017-12-31;100.00
大唐高鸿济宁电子信息技术有限公司;-;2017-12-31;98.00
北京高阳捷迅信息技术有限公司;-;2017-12-31;96.60
大唐高鸿信息技术有限公司;-;2017-12-31;91.89
大唐投资管理(北京)有限公司;-;2017-12-31;67.64
大唐融合通信股份有限公司;833035.OC;2017-12-31;49.48
海南大唐发控股权投资基金管理有限公司;-;2017-12-31;49.00
大唐同威投资管理(深圳)有限公司;-;2017-12-31;40.00
大唐高新创业投资有限公司;-;2017-12-31;37.93
贵州大数据旅游产业股份有限公司;-;2017-12-31;30.00
大唐金康(长葛)科技产业有限公司;-;2017-12-31;30.00
北京海岸淘金创业投资有限公司;-;2017-12-31;29.67
北京兴鸿达物业管理服务有限责任公司;-;2017-12-31;29.00
盛唐威讯数媒科技(北京)有限公司;-;2017-12-31;20.00
