参控股名称;股票代码;报告期;持股比例(%)
Primedic GmbH;-;2017-12-31;100.00
苏州医疗用品厂有限公司;-;2017-12-31;100.00
苏州鱼跃医疗科技有限公司;-;2017-12-31;100.00
上海医疗器械(集团)有限公司;-;2017-12-31;100.00
西藏鱼跃医疗投资有限公司;-;2017-12-31;100.00
江苏鱼跃信息系统有限公司;-;2017-12-31;100.00
上海鱼跃医疗设备有限公司;-;2017-12-31;100.00
江苏鱼跃医用器材有限公司;-;2015-12-31;100.00
南京鱼跃软件技术有限公司;-;2015-12-31;100.00
江苏鱼跃泰格精密机电有限公司;-;2017-12-31;82.00
丹阳真木君洋医疗器械有限公司;-;2015-12-31;70.00
上海中优医药高科技股份有限公司;T23725.OC;2017-12-31;61.62
江苏鱼跃医用仪器有限公司;-;2017-12-31;60.00
上海优阅光学有限公司;-;2017-12-31;51.00
西藏鱼跃医疗设备开发有限公司;-;2017-12-31;40.00
AMSINO MEDICAL GROUP HOLDINGS COMPANY LIMITED;-;2017-12-31;19.33
Amsino Medical Group Company Limited;-;2017-06-07;19.33
