参控股名称;股票代码;报告期;持股比例(%)
齐心(亚洲)有限公司;-;2017-12-31;100.00
深圳市齐心共赢办公用品有限公司;-;2017-12-31;100.00
上海齐心信息科技有限公司;-;2017-12-31;100.00
齐心(香港)有限公司;-;2017-12-31;100.00
广州齐心共赢办公用品有限公司;-;2017-12-31;100.00
深圳市齐心供应链管理有限公司;-;2017-12-31;100.00
北京齐心办公用品有限公司;-;2017-12-31;100.00
沈阳齐心发展有限公司;-;2017-12-31;100.00
西安齐心信息科技有限公司;-;2017-12-31;100.00
武汉齐心信息科技有限公司;-;2017-12-31;100.00
成都齐心网络科技有限公司;-;2017-12-31;100.00
杭州麦苗网络技术有限公司;-;2017-12-31;100.00
深圳银澎云计算有限公司;-;2017-12-31;100.00
天津齐心共赢科技有限公司;-;2017-12-31;100.00
重庆齐心共赢信息科技有限公司;-;2017-12-31;100.00
深圳齐心融汇商业保理有限公司;-;2017-12-31;100.00
杭州齐心共赢科技有限公司;-;2017-12-31;100.00
郑州齐心协创信息科技有限公司;-;2017-12-31;100.00
上海齐心办公用品有限公司;-;2017-12-31;93.50
齐心商用设备(深圳)有限公司;-;2017-12-31;75.00
深圳齐心乐购科技有限公司;-;2017-12-31;51.00
深圳华臻供应链管理有限公司;-;2017-12-31;51.00
深圳市齐心和君产业股权投资基金合伙企业(有限合伙);-;2017-12-31;16.00
北京神州云动科技股份有限公司;430262.OC;2017-12-31;11.07
