参控股名称;股票代码;报告期;持股比例(%)
龙岩山海旅游运输有限公司;-;2017-06-30;100.00
福建省闽西快速客运有限公司;-;2017-06-30;100.00
福建省龙岩交通国际旅行社有限公司;-;2017-06-30;100.00
龙岩市新罗区龙达运输有限公司;-;2017-06-30;100.00
长汀县维农客运有限公司;-;2017-06-30;100.00
梅州市龙洲运输有限公司;-;2017-06-30;100.00
龙岩市龙洲物流配送有限公司;-;2017-06-30;100.00
武平县龙洲物流有限公司;-;2017-06-30;100.00
龙岩市华辉商贸有限公司;-;2017-06-30;100.00
龙岩市新宇汽车销售服务有限公司;-;2017-06-30;100.00
龙岩市交通职业技术学校;-;2017-06-30;100.00
龙岩天元信息科技有限公司;-;2017-06-30;100.00
武平县龙洲投资发展有限公司;-;2017-06-30;100.00
龙洲行(厦门)投资有限公司;-;2017-06-30;100.00
龙岩龙兴公路港物流有限公司;-;2017-06-30;100.00
天津兆华领先有限公司;-;2017-06-30;100.00
龙岩市凯通汽车客运有限公司;-;2015-12-31;100.00
广东龙洲行投资发展有限公司;-;2015-12-31;100.00
龙岩龙运大酒店有限公司;-;2015-12-31;100.00
龙岩市康兴贸易有限公司;-;2015-12-31;100.00
天津龙洲新盾科技有限公司;-;2015-12-31;100.00
山西兆华沥青有限公司;-;2017-06-30;96.00
安徽中桩物流有限公司;-;2017-06-30;75.00
龙岩畅丰专用汽车有限公司;-;2017-06-30;70.00
天津市龙洲天和能源科技有限公司;-;2017-06-30;65.00
福建武夷交通运输股份有限公司;-;2015-12-31;61.49
龙岩市客家土楼旅游运输有限公司;-;2017-06-30;55.00
永定县客家土楼旅游运输有限公司;-;2015-12-31;55.00
龙岩市岩运石化有限公司;-;2017-06-30;51.00
金润商业保理(上海)有限公司;-;2017-06-30;51.00
