客户名称;股票代码;报告期;金额(万元)
中国农业银行股份有限公司;601288.SH;2014-06-30;13,908.08
中国工商银行股份有限公司;601398.SH;2014-06-30;8,825.36
中国银行股份有限公司;601988.SH;2014-06-30;5,405.55
浙江省农村信用社联合社;-;2014-06-30;2,193.40
中信银行股份有限公司;601998.SH;2014-06-30;1,568.25
数安时代科技股份有限公司;871932.OC;2017-12-31;302.58
金润方舟科技股份有限公司;430120.OC;2017-12-31;60.18
江西金格科技股份有限公司;430727.OC;2017-12-31;36.97
北京安证通信息科技股份有限公司;830910.OC;2017-12-31;23.58
成都天力卓越软件股份有限公司;833668.OC;2017-12-31;19.80
青岛雨诺网络信息股份有限公司;837579.OC;2017-12-31;15.73
陕西省数字证书认证中心股份有限公司;831297.OC;2017-12-31;12.24
武汉思为同飞网络技术股份有限公司;831097.OC;2017-12-31;11.54
江苏翔晟信息技术股份有限公司;836874.OC;2017-12-31;11.03
宁波畅想软件股份有限公司;831874.OC;2017-12-31;1.24
