客户名称;股票代码;报告期;金额(万元)
河北养元智汇饮品股份有限公司;603156.SH;2014-12-31;33,103.55
安徽滁州养元饮品有限公司;-;2014-12-31;30,526.28
广州医药进出口有限公司;-;2014-12-31;30,384.91
河北承德露露股份有限公司;000848.SZ;2014-12-31;14,344.70
郑州露露饮料有限公司;-;2014-12-31;12,082.33
广州市泰奇食品有限公司;-;2014-12-31;6,504.88
广州王老吉大健康产业有限公司;-;2014-12-31;2,667.70
马鞍山达利食品有限公司;-;2014-12-31;1,689.84
福建达利食品集团有限公司;-;2014-12-31;1,657.70
济南达利食品有限公司;-;2014-12-31;1,555.34
吉林达利食品有限公司;-;2014-12-31;1,382.27
南昌达利食品有限公司;-;2014-12-31;1,157.70
北京露露饮料有限责任公司;-;2014-12-31;1,152.77
泉州达利食品有限公司;-;2014-12-31;1,007.64
江苏达利食品有限公司;-;2014-12-31;774.05
湖北达利食品有限公司;-;2014-12-31;662.45
河南达利食品有限公司;-;2014-12-31;627.83
山西达利食品有限公司;-;2014-12-31;624.12
甘肃达利食品有限公司;300053.GSE;2014-12-31;416.85
广东达利食品有限公司;-;2014-12-31;400.58
河北达利食品有限公司;-;2014-12-31;130.95
