参控股名称;股票代码;报告期;持股比例(%)
上海普天网络技术有限公司;-;2017-12-31;100.00
上海普天能源科技有限公司;-;2017-12-31;100.00
上海邮通物业管理有限公司;-;2017-12-31;100.00
上海普天邮通进出口有限公司;-;2015-12-31;100.00
上海普天邮通商用机器有限公司;-;2017-12-31;90.00
上海邮通移动通信科技有限公司;-;2017-12-31;85.00
上海山崎电路板有限公司;-;2017-12-31;78.20
上海天通通信设备有限公司;-;2017-12-31;75.00
上海时代通信设备制造有限公司;-;2015-12-31;75.00
上海普天中科能源技术有限公司;-;2017-12-31;70.00
上海普天中科能源有限公司;-;2015-12-31;70.00
上海天山通信电子有限公司;-;2017-12-31;60.00
上海普天东健电子科技有限公司;-;2017-12-31;49.00
上海普天宏美工程管理有限公司;-;2015-12-31;48.66
上海普天科创电子有限公司;-;2017-12-31;29.13
上海幻影显示技术有限公司;-;2015-12-31;26.51
上海普盛物流有限公司;-;2017-12-31;19.96
