参控股名称;股票代码;报告期;持股比例(%)
沈阳银基新材料科技有限公司;-;2017-06-30;100.00
宁波杭州湾新区炭基新材料有限公司;-;2017-06-30;100.00
北京银新投资有限公司;-;2017-06-30;100.00
北京烯碳石墨烯研究院有限公司;-;2017-06-30;100.00
海城市镁兴贸易有限公司;-;2017-06-30;100.00
沈阳银基矿业有限公司;-;2017-06-30;100.00
深圳银基烯碳能源科技有限公司;-;2017-06-30;100.00
沈阳银基置业有限公司;-;2016-12-13;100.00
海城镁兴贸易有限公司;-;2015-12-31;100.00
鸡东奥宇烯碳石墨投资有限公司;-;2015-12-31;100.00
江苏银基碳新材料研究院有限公司;-;2017-06-30;90.00
烯碳石墨烯科技服务有限公司;-;2017-06-30;90.00
江苏银基烯碳能源科技有限公司;-;2017-06-30;90.00
江苏银基烯碳科技有限公司;-;2017-06-30;80.00
沈阳银基东方威尼斯房产销售有限公司;-;2017-06-30;70.00
盘锦银基烯碳新能源科技有限公司;-;2017-06-30;51.00
