参控股名称;股票代码;报告期;持股比例(%)
东证融通投资管理有限公司;-;2017-12-31;100.00
东证融达投资有限公司;-;2017-12-31;100.00
东证融汇证券资产管理有限公司;-;2017-12-31;100.00
渤海期货股份有限公司;870662.OC;2017-12-31;96.00
东方基金管理有限责任公司;-;2017-12-31;64.00
襄阳东证和同探路者体育产业基金合伙产业(有限合伙);-;2017-12-31;52.73
银华基金管理股份有限公司;-;2017-12-31;18.90
老肯医疗科技股份有限公司;834611.OC;2018-03-31;4.64
吉林省差旅天下网络技术股份有限公司;430578.OC;2018-03-31;4.53
北京精英智通科技股份有限公司;430325.OC;2018-03-31;4.04
北京大道信通科技股份有限公司;831984.OC;2018-03-31;3.64
福建瑞聚信息技术股份有限公司;831072.OC;2018-03-31;3.62
微传播(北京)网络科技股份有限公司;430193.OC;2018-03-31;3.15
观典防务技术股份有限公司;832317.OC;2018-03-31;3.02
深圳市倍通检测股份有限公司;832172.OC;2018-03-31;2.96
北京络捷斯特科技发展股份有限公司;834832.OC;2018-03-31;2.10
上海轶德医疗科技股份有限公司;839056.OC;2018-03-31;1.85
第一物业(北京)股份有限公司;837498.OC;2018-04-03;1.84
中牧实业股份有限公司;600195.SH;2018-03-31;1.49
泉州市东南光电股份有限公司;831431.OC;2018-03-31;1.42
广东太安堂药业股份有限公司;002433.SZ;2018-03-31;1.04
四川嘉宝资产管理集团股份有限公司;834962.OC;2018-03-31;0.92
上海科华生物工程股份有限公司;002022.SZ;2018-03-31;0.71
时代出版传媒股份有限公司;600551.SH;2018-03-31;0.62
北京星震同源数字系统股份有限公司;838943.OC;2018-03-31;0.57
北京摩诘创新科技股份有限公司;836008.OC;2018-03-31;0.50
用友汽车信息科技(上海)股份有限公司;839951.OC;2018-03-31;0.30
浙商中拓集团股份有限公司;000906.SZ;2018-03-31;0.27
