参控股名称;股票代码;报告期;持股比例(%)
北京意德法家经贸有限公司;-;2017-06-30;100.00
北京意德法家木业有限公司;-;2017-06-30;100.00
重庆东易日盛装饰工程有限责任公司;-;2017-06-30;100.00
东易日盛家俱有限公司;-;2017-06-30;100.00
北京速美集家装饰有限公司;-;2017-06-30;100.00
北京睿筑国际工程设计有限公司;-;2017-06-30;100.00
北京东易饰家装饰设计有限公司;-;2017-06-30;100.00
文景易盛投资有限公司;-;2017-06-30;100.00
网家科技有限责任公司;-;2017-06-30;100.00
易日升投资有限公司;-;2017-06-30;100.00
北京易日通供应链管理有限公司;-;2017-06-30;100.00
北京速美集屋装饰有限公司;-;2015-12-31;100.00
天津创艺饰家装饰咨询服务有限公司;-;2015-12-31;100.00
集艾室内设计(上海)有限公司;-;2017-06-30;60.00
北京欣邑东方室内设计有限公司;-;2017-11-16;60.00
上海利迅建筑装饰有限公司;-;2015-12-31;60.00
南通东易通盛装饰工程有限公司;-;2017-06-30;51.00
山西东易园装饰工程有限公司;-;2017-06-30;51.00
上海创域实业有限公司;-;2017-06-30;51.00
长春东易富盛德装饰有限公司;-;2017-06-30;51.00
上海易日升金融服务有限公司;-;2015-12-31;34.50
Meilele Inc;-;2017-10-10;2.18
