参控股名称;股票代码;报告期;持股比例(%)
江门市东江环保技术有限公司;-;2017-12-31;100.00
深圳市宝安东江环保技术有限公司;-;2017-12-31;100.00
江西东江环保技术有限公司;-;2017-12-31;100.00
惠州市东江环保技术有限公司;-;2017-12-31;100.00
深圳市东江环保再生资源有限公司;-;2017-12-31;100.00
云南东江环保技术有限公司;-;2017-12-31;100.00
深圳市华保科技有限公司;-;2017-12-31;100.00
青岛市东江环保再生能源有限公司;-;2017-12-31;100.00
成都市危险废物处理中心有限公司;-;2017-12-31;100.00
深圳市东江环保再生能源有限公司;-;2017-12-31;100.00
韶关市东江环保技术有限公司;-;2017-12-31;100.00
韶关东江环保再生资源发展有限公司;-;2017-12-31;100.00
深圳市东江物业服务有限公司;-;2017-12-31;100.00
深圳宝安东江环保再生能源有限公司;-;2017-12-31;100.00
东江环保(香港)有限公司;-;2017-12-31;100.00
惠州东江运输有限公司;-;2017-12-31;100.00
深圳市东江环保产品贸易有限公司;-;2017-12-31;100.00
珠海市清新工业环保有限公司;-;2017-12-31;100.00
东莞市恒建环保科技有限公司;-;2017-12-31;100.00
深圳市东江恺达运输有限公司;-;2017-12-31;100.00
深圳市东江汇圆小额贷款有限公司;-;2017-12-31;100.00
深圳市恒建通达投资管理有限公司;-;2017-12-31;100.00
南通惠天然固体废物填埋有限公司;-;2017-12-31;100.00
如东大恒危险废物处理有限公司;-;2017-12-31;100.00
深圳市前海东江环保科技服务有限公司;-;2017-12-31;100.00
荆州东江环保科技有限公司;-;2017-12-31;100.00
肇庆东晟环保技术有限公司;-;2017-12-31;100.00
深圳市华藤环境信息科技有限公司;-;2017-12-31;100.00
仙桃东江环保科技有限公司;-;2017-12-31;100.00
湖南东江环保投资发展有限公司;-;2017-12-31;95.00
