参控股名称;股票代码;报告期;持股比例(%)
东软集团南京有限公司;-;2017-12-31;100.00
东软集团(郑州)有限公司;-;2017-12-31;100.00
东软集团(南昌)有限公司;-;2017-12-31;100.00
东软集团重庆有限公司;-;2017-12-31;100.00
东软集团(宁波)有限公司;-;2017-12-31;100.00
东软集团(徐州)有限公司;-;2017-12-31;100.00
东软(欧洲)有限公司;-;2017-12-31;100.00
东软集团(克拉玛依)有限公司;-;2017-12-31;100.00
东软集团(长春)有限公司;-;2017-12-31;100.00
东软管理咨询(上海)有限公司;-;2017-12-31;100.00
东软集团(宜昌)有限公司;-;2017-12-31;100.00
东软集团(南宁)有限公司;-;2017-12-31;100.00
东软集团(襄阳)有限公司;-;2017-12-31;100.00
沈阳智医科技有限公司;-;2017-12-31;100.00
大连东软共创科技有限公司;-;2017-12-31;100.00
深圳市东软软件有限公司;-;2017-12-31;100.00
东软集团(北京)有限公司;-;2017-12-31;100.00
山东东软系统集成有限公司;-;2017-12-31;100.00
湖南东软软件有限公司;-;2017-12-31;100.00
成都东软系统集成有限公司;-;2017-12-31;100.00
西安东软系统集成有限公司;-;2017-12-31;100.00
武汉东软信息技术有限公司;-;2017-12-31;100.00
沈阳逐日数码广告传播有限公司;-;2017-12-31;100.00
东软(香港)有限公司;-;2017-12-31;100.00
上海东软时代数码技术有限公司;-;2017-12-31;100.00
东软(日本)有限公司;-;2017-12-31;100.00
北京兰瑞科创信息技术有限公司;-;2017-12-31;100.00
沈阳东软系统集成技术有限公司;-;2017-12-31;100.00
东软集团(广州)有限公司;-;2017-12-31;100.00
东软集团(上海)有限公司;-;2017-12-31;100.00
