参控股名称;股票代码;报告期;持股比例(%)
中信国安通信有限公司;-;2017-06-30;100.00
浙江海宁国安睿威投资合伙企业(有限合伙);-;2017-06-30;99.82
中信国安信息科技有限公司;-;2017-06-30;95.00
中信国安房地产开发有限公司;-;2017-06-30;90.00
中信国安恒通科技开发有限公司;-;2017-06-30;90.00
西藏国安睿博投资管理有限公司;-;2017-06-30;80.00
中信国安广视网络有限公司;-;2017-06-30;74.40
中信国安盟固利动力科技有限公司;-;2017-06-30;64.10
国安浏阳宽带数据通信有限责任公司;-;2017-06-30;60.00
中信通信项目管理有限责任公司;-;2017-06-30;60.00
北京鸿联九五信息产业有限公司;-;2017-06-30;51.00
浏阳国安广电宽带网络有限责任公司;-;2017-06-30;49.00
湘潭国安广播电视信息网络有限公司;-;2017-06-30;49.00
岳阳市有线电视宽带网络有限公司;-;2017-06-30;49.00
长沙国安广播电视宽带网络有限公司;-;2017-06-30;49.00
河北广电网络集团秦皇岛有限公司;-;2017-06-30;49.00
河北广电网络集团唐山有限公司;-;2017-06-30;49.00
合肥有线电视宽带网络有限公司;-;2017-06-30;40.00
北京华瑞网研科技有限公司;-;2017-06-30;35.00
山东广电网络威海有限公司;-;2017-06-30;31.58
北京广传慧生活网络科技有限公司;-;2017-06-30;30.00
河南有线电视网络集团有限公司;-;2017-06-30;24.50
天津国安盟固利新材料科技股份有限公司;-;2017-06-30;20.46
江苏省广电有线信息网络股份有限公司;600959.SH;2017-06-30;15.22
湖北省广播电视信息网络股份有限公司;000665.SZ;2018-03-31;8.56
