参控股名称;股票代码;报告期;持股比例(%)
中核技术投资有限公司;-;2017-12-31;100.00
中国核电(英国)有限公司;-;2017-12-31;100.00
中核山东能源有限公司;-;2017-12-31;100.00
中核核电运行管理有限公司;-;2017-12-31;100.00
中核(西藏)实业发展有限公司;-;2017-12-31;75.00
秦山核电有限公司;-;2017-12-31;72.00
中核霞浦核电有限公司;-;2017-12-31;55.00
三门核电有限公司;-;2017-12-31;51.00
福建福清核电有限公司;-;2017-12-31;51.00
海南核电有限公司;-;2017-12-31;51.00
中核国电漳州能源有限公司;-;2017-12-31;51.00
中核华电河北核电有限公司;-;2017-12-31;51.00
中核海洋核动力发展有限公司;-;2017-12-31;51.00
中核河北核电有限公司;-;2017-12-31;51.00
秦山第三核电有限公司;-;2017-12-31;51.00
福建三明核电有限公司;-;2017-12-31;51.00
中核河南核电有限公司;-;2017-12-31;51.00
江苏核电有限公司;-;2017-12-31;50.00
湖南桃花江核电有限公司;-;2017-12-31;50.00
中核辽宁核电有限公司;-;2017-12-31;50.00
秦山联营有限公司;-;2015-12-31;50.00
中核(上海)企业发展有限公司;-;2017-10-28;28.00
中核融资租赁有限公司;-;2017-12-31;10.00
