参控股名称;股票代码;报告期;持股比例(%)
中环能源(内蒙古)有限公司;-;2017-12-31;100.00
四川中环能源有限公司;-;2017-12-31;100.00
天津环鑫科技发展有限公司;-;2017-12-31;100.00
张家口中环能源有限公司;-;2017-12-31;100.00
天津市环欧半导体材料技术有限公司;-;2017-12-31;100.00
中环香港控股有限公司;-;2017-12-31;100.00
内蒙古中环资产管理有限公司;-;2017-12-31;100.00
天津中环新能源有限公司;-;2017-12-31;100.00
无锡中环应用材料有限公司;-;2017-12-31;100.00
无锡中环资产管理有限公司;-;2017-12-31;100.00
天津中环应用材料有限公司;-;2015-12-31;100.00
内蒙古中环光伏材料有限公司;-;2015-12-31;79.08
内蒙古中晶科技研究院有限公司;-;2017-12-31;55.00
天津环宇阳光新能源科技有限公司;-;2017-12-31;55.00
天津环博科技有限责任公司;-;2017-12-31;49.00
天津环美能源科技有限公司;-;2017-06-09;48.57
华夏聚光(内蒙古)光伏电力有限公司;-;2015-12-31;40.00
东方环晟光伏(江苏)有限公司;-;2017-12-31;37.00
内蒙古欧晶科技股份有限公司;836724.OC;2016-04-12;30.95
中环领先半导体材料有限公司;-;2017-12-31;30.00
内蒙古中环协鑫光伏材料有限公司;-;2017-12-31;15.00
四川晟天新能源发展有限公司;-;2017-12-31;9.66
