参控股名称;股票代码;报告期;持股比例(%)
天津滨河创新科技有限公司;-;2017-12-31;100.00
北京中科金财电子商务有限公司;-;2017-12-31;100.00
北京中科金财软件技术有限公司;-;2017-12-31;100.00
北京中科金财互联网服务有限公司;-;2017-12-31;100.00
霍尔果斯金财科技服务有限公司;-;2017-12-31;100.00
深圳中金财富互联网金融服务有限公司;-;2017-12-31;100.00
香港中科金财科技有限公司;-;2017-12-31;100.00
中科金财保险经纪有限公司;-;2017-12-31;100.00
深圳前海中科金财金控投资有限公司;-;2017-12-31;100.00
北京中科金财投资管理有限公司;-;2015-12-31;100.00
中科金财(上海)互联网金融信息服务有限公司;-;2017-03-28;80.00
北京中科金财信息技术有限公司;-;2015-12-31;70.00
北京国信金泽投资中心(有限合伙);-;2017-12-31;64.35
大连金融资产交易所有限公司;-;2017-12-31;50.00
嘉兴中融兴华资产管理有限公司;-;2017-12-31;50.00
倍升互联(北京)科技有限公司;-;2015-12-31;49.00
安粮期货股份有限公司;T26137.OC;2017-12-31;40.00
深圳市金方达信息技术有限公司;-;2017-12-31;30.00
北京国信新网通讯技术有限公司;-;2017-12-31;28.00
金网络(北京)电子商务有限公司;-;2017-12-31;25.00
安金资产管理有限公司;-;2017-12-31;21.00
北京奥金智策传媒科技有限公司;-;2017-12-31;21.00
中科环嘉电子商务有限公司;-;2015-12-31;20.10
北京中关村互联网金融信息服务中心有限公司;-;2017-12-31;15.00
