参控股名称;股票代码;报告期;持股比例(%)
丽江云杉坪旅游索道有限公司;-;2017-06-30;100.00
丽江牦牛坪旅游索道有限公司;-;2017-06-30;100.00
丽江龙德旅游发展有限公司;-;2017-06-30;100.00
丽江和府酒店有限公司;-;2017-06-30;100.00
丽江龙途旅行社有限责任公司;-;2017-06-30;100.00
丽江龙悦餐饮经营管理有限公司;-;2017-06-30;100.00
迪庆香巴拉旅游投资有限公司;-;2017-06-30;100.00
丽江龙腾旅游投资开发有限公司;-;2017-06-30;100.00
丽江龙研文化旅游发展有限公司;-;2017-06-30;70.00
丽江玉龙雪山印象旅游文化产业有限公司;-;2017-06-30;51.00
丽江龙健生物科技有限公司;-;2017-06-30;47.37
巴塘雪域旅游投资管理有限责任公司;-;2017-06-30;39.13
云南丽江白鹿国际旅游社有限公司;-;2017-06-30;36.00
丽江玉龙雪山旅游观光车有限公司;-;2017-06-30;20.00
丽江裸美乐生态文化旅游有限公司;-;2017-06-30;20.00
