参控股名称;股票代码;报告期;持股比例(%)
乐视网(天津)信息技术有限公司;-;2017-06-30;100.00
北京乐视流媒体广告有限公司;-;2017-06-30;100.00
乐视网信息技术(香港)有限公司;-;2017-06-30;100.00
乐视网(上海)信息技术有限公司;-;2017-06-30;100.00
乐视新媒体文化(天津)有限公司;-;2017-06-30;100.00
东阳市乐视花儿影视文化有限公司;-;2017-06-30;100.00
霍尔果斯乐视新生代文化传媒有限公司;-;2017-06-30;100.00
重庆乐视小额贷款有限公司;-;2017-06-30;100.00
乐视财富(北京)信息技术有限公司;-;2017-06-30;100.00
樂想控股有限公司;-;2017-06-30;100.00
乐视原创(北京)文化传媒有限公司;-;2017-06-30;100.00
乐视网文化发展(北京)有限公司;-;2017-06-30;51.00
乐视云计算有限公司;-;2017-06-30;47.21
新乐视智家电子科技(天津)有限公司;-;2018-04-19;40.31
TCL多媒体科技控股有限公司;2934.HK;2017-06-30;20.01
北京智驿信息技术有限责任公司;-;2017-06-30;18.00
喜悦娱乐(杭州)股份有限公司;837073.OC;2017-12-31;4.55
