参控股名称;股票代码;报告期;持股比例(%)
湖南九芝堂芃茂科技有限公司;-;2017-06-30;100.00
湖南九芝堂电子商务有限公司;-;2017-06-30;100.00
湖南九芝堂中药验方工程研究有限公司;-;2017-06-30;100.00
湖南斯奇生物制药有限公司;-;2017-06-30;100.00
牡丹江友搏药业有限责任公司;-;2017-06-30;100.00
牡丹江友搏药业有限责任公司+1;-;2015-12-31;100.00
湖南九芝堂医药有限公司;-;2017-06-30;98.57
海南九芝堂药业有限公司;-;2017-06-30;98.46
湖南九芝堂医药科技有限公司;-;2017-06-30;98.00
成都九芝堂金鼎药业有限公司;-;2017-06-30;97.76
九芝堂医药贸易有限公司;-;2017-06-30;90.00
九芝堂芃茂科技股份有限公司;-;2015-12-31;90.00
九芝堂健康产业发展(北京)有限公司;-;2017-06-30;51.00
湖南九芝堂零售连锁有限公司;-;2017-06-30;10.00
常德九芝堂医药有限公司;-;2017-06-30;10.00
