参控股名称;股票代码;报告期;持股比例(%)
普兰帝(美国)游艇有限公司;-;2017-12-31;100.00
珠海太阳鸟游艇制造有限公司;-;2017-12-31;100.00
长沙太阳鸟游艇有限责任公司;-;2017-12-31;100.00
珠海凤凰融资租赁有限公司;-;2017-12-31;100.00
广东宝达游艇制造有限公司;-;2017-12-31;100.00
普蘭帝(香港)游艇有限公司;-;2017-12-31;100.00
上海兰波湾游艇设计有限公司;-;2017-12-31;100.00
珠海宝达游艇制造有限公司;-;2017-12-31;100.00
珠海凤巢游艇制造有限公司;-;2017-12-31;100.00
益阳中海船舶有限责任公司;-;2017-12-31;100.00
拉斐尔(意大利)游艇有限公司;-;2017-12-31;98.70
Safon Environment AB;-;2015-12-31;98.70
成都亚光电子股份有限公司;-;2017-12-31;97.38
珠海普兰帝船舶工程有限公司;-;2017-12-31;51.00
珠海先歌游艇制造股份有限公司;T16111.OC;2017-12-31;45.00
