参控股名称;股票代码;报告期;持股比例(%)
兴证(香港)金融控股有限公司;-;2017-12-31;100.00
福建兴证兴杭股权投资管理有限公司;-;2017-12-31;100.00
兴证咨询服务(深圳)有限公司;-;2017-12-31;100.00
兴证投资管理有限公司;-;2017-12-31;100.00
兴证创新资本管理有限公司;-;2017-12-31;100.00
平潭兴证创新股权投资管理有限公司;-;2017-12-31;100.00
平潭兴证鑫源股权投资管理有限公司;-;2017-12-31;100.00
兴证国际控股有限公司;-;2017-12-31;100.00
智创国际有限公司;-;2017-12-31;100.00
上海兴证管理咨询有限公司;-;2017-12-31;100.00
兴证证券资产管理有限公司;-;2017-12-31;100.00
福州兴证物业管理有限公司;-;2017-12-31;100.00
兴证期货有限公司;-;2018-03-31;97.18
福建兴证创富股权投资管理有限公司;-;2017-12-31;90.00
福建省兴潭股权投资管理有限公司;-;2017-12-31;80.00
平潭兴证福日投资管理有限公司;-;2017-12-31;70.00
平潭兴证闽商投资管理有限公司;-;2017-12-31;60.00
珠海兴证六和创业投资管理有限公司;-;2017-12-31;56.00
苏州兴证创禾股权投资管理有限公司;-;2017-12-31;55.00
CISI Investment Limited;-;2017-12-31;51.41
兴证国际私人财富管理有限公司;-;2017-12-31;51.41
兴证国际金融集团有限公司;8407.HK;2017-12-31;51.41
兴证国际证券有限公司;-;2017-12-31;51.41
兴证国际资产管理有限公司;-;2017-12-31;51.41
兴证国际期货有限公司;-;2017-12-31;51.41
兴证国际融资有限公司;-;2017-12-31;51.41
兴证国际财务有限公司;-;2017-12-31;51.41
兴证国际投资有限公司;-;2017-12-31;51.41
CISI Capital Management Limited;-;2017-12-31;51.41
上海兴全睿众资产管理有限公司;-;2017-12-31;51.00
