参控股名称;股票代码;报告期;持股比例(%)
兰州华联综合超市有限公司;-;2017-12-31;100.00
南京大厂华联综合超市有限公司;-;2017-12-31;100.00
广西华联综合超市有限公司;-;2017-12-31;100.00
包头市拓吉联商贸有限公司;-;2017-12-31;100.00
北京华联综合超市(新加坡)采购有限公司;-;2017-12-31;100.00
贵州华联综合超市有限公司;-;2017-12-31;100.00
呼和浩特联信达商业有限公司;-;2017-12-31;100.00
银川海融兴达商业有限公司;-;2017-12-31;100.00
北京华联呼和浩特金宇综合超市有限公司;-;2017-12-31;100.00
南京湖南路北京华联综合超市有限公司;-;2017-12-31;100.00
北京华联精品超市有限公司;-;2017-06-14;100.00
北京联合创新国际商业咨询有限公司;-;2017-06-07;100.00
呼和浩特市联信达商业有限公司;-;2015-12-31;100.00
北京明德福海贸易有限公司;-;2015-12-31;83.33
陕西事农果品有限公司;-;2017-12-31;70.00
广州北华联设备采购有限公司;-;2017-12-31;70.00
黄山华绿园生物科技有限公司;-;2016-06-29;65.00
华联(北京)商业保理有限公司;-;2017-12-31;49.00
北京华联鑫创益科技有限公司;-;2017-12-31;33.00
华联财务有限责任公司;-;2017-12-31;33.00
