参控股名称;股票代码;报告期;持股比例(%)
青岛海融兴达商业管理有限公司;-;2017-12-31;100.00
Beijing Hualian Mall (HongKong) Commercial Management Co.Ltd .;-;2017-12-31;100.00
Beijing Hualian Mall(Singapore) Commercial Management Pte. Ltd.;-;2017-12-31;100.00
武汉海融兴达商业管理有限公司;-;2017-12-31;100.00
北京坤联信和商业管理有限公司;-;2017-12-31;100.00
南京大厂北京华联购物中心有限公司;-;2017-12-31;100.00
包头市鼎鑫源商业管理有限公司;-;2017-12-31;100.00
内江华联购物中心有限公司;-;2017-12-31;100.00
合肥海融兴达商业管理有限公司;-;2017-12-31;100.00
沈阳广盛鑫源商业投资管理有限公司;-;2017-12-31;100.00
海南华联购物中心有限公司;-;2017-12-31;100.00
成都华联弘顺物业管理有限公司;-;2017-12-31;100.00
华联海融资产管理(横琴)有限公司;-;2017-12-31;100.00
上海旭程资产管理有限公司;-;2017-12-31;100.00
江苏紫金华联商用设施运营有限公司;-;2017-12-31;100.00
无锡奥盛通达商业管理有限公司;-;2017-12-31;100.00
合肥华联瑞诚购物广场商业运营有限公司;-;2017-12-31;100.00
山西华联购物中心有限公司;-;2017-12-31;100.00
北京华联电影院线有限公司;-;2017-12-31;83.00
华联(北京)商业保理有限公司;-;2017-12-31;51.00
北京华富天地购物中心有限公司;-;2017-12-31;51.00
华联财务有限责任公司;-;2017-12-31;33.00
北京华联综合超市股份有限公司;600361.SH;2018-03-31;0.53
