参控股名称;股票代码;报告期;持股比例(%)
新疆城建物业有限责任公司;-;2017-06-30;100.00
新疆城建集团阿克苏兴业建设有限公司;-;2017-06-30;100.00
新疆凯乐新材料有限公司;-;2017-06-30;100.00
新疆宝深管业有限公司;-;2017-06-30;100.00
新疆城建丝路工程项目管理有限公司;-;2017-06-30;100.00
阿克苏城建物业服务有限责任公司;-;2017-06-30;100.00
新疆建业众为商贸有限公司;-;2017-06-30;100.00
卓郎智能机械有限公司;-;2017-12-29;100.00
新疆城建装饰设计有限责任公司;-;2017-06-30;90.00
吉林凯乐新材料有限公司;-;2017-06-30;85.00
北京豪斯泰克钢结构有限公司;-;2017-06-30;80.00
德惠市皓塬陶粒页岩有限责任公司;-;2017-06-30;80.00
德惠市皓原陶粒页岩有限责任公司;-;2015-12-31;80.00
新疆城建材料有限责任公司;-;2015-12-31;74.72
新疆恒通房地产开发有限公司;-;2017-06-30;62.00
新疆城建环保有限公司;-;2017-06-30;51.00
安徽新徽置业有限公司;-;2017-06-30;51.00
新疆城建建科工程质量检测有限公司;-;2017-06-30;51.00
乌鲁木齐国经房地产开发有限公司;-;2017-06-30;51.00
新疆城建鸿业投资发展有限公司;-;2017-06-30;51.00
新疆通力建设股份有限公司;-;2017-06-30;24.16
