参控股名称;股票代码;报告期;持股比例(%)
南通南钢钢材销售有限公司;-;2017-12-31;100.00
重庆南钢钢材销售有限公司;-;2017-12-31;100.00
北京南钢金易贸易有限公司;-;2017-12-31;100.00
无锡南钢金鑫钢材销售有限公司;-;2017-12-31;100.00
南京钢铁集团经销有限公司;-;2017-12-31;100.00
上海南钢物资销售有限公司;-;2017-12-31;100.00
南京鑫龙钢材销售有限公司;-;2017-12-31;100.00
北京南钢钢材销售有限公司;-;2017-12-31;100.00
安徽南钢钢材销售有限公司;-;2017-12-31;100.00
南京鑫峘投资有限公司;-;2017-12-31;81.25
上海金益融资租赁有限公司;-;2017-12-31;75.00
江苏金凯节能环保投资控股有限公司;-;2017-12-31;74.15
江苏金贸钢宝电子商务股份有限公司;834429.OC;2017-12-31;64.00
南京南钢产业发展有限公司;-;2017-12-31;61.28
安徽金黄庄矿业有限公司;-;2017-12-31;49.00
江苏天工科技股份有限公司;834549.OC;2018-03-31;17.95
浙江五洲新春集团股份有限公司;603667.SH;2018-03-31;3.00
