参控股名称;股票代码;报告期;持股比例(%)
四川博瑞教育有限公司;-;2017-12-31;100.00
北京漫游谷信息技术有限公司;-;2017-12-31;100.00
星百瑞(北京)传媒有限公司;-;2017-12-31;100.00
上海博瑞传播文化发展有限公司;-;2017-12-31;100.00
北京博瑞盛德创业投资有限公司;-;2017-12-31;100.00
四川博瑞书坊文化有限公司;-;2017-12-31;100.00
四川博瑞麦迪亚置业有限公司;-;2017-12-31;100.00
成都梦工厂网络信息有限公司;-;2017-12-31;100.00
成都博瑞数码科技有限公司;-;2017-12-07;100.00
成都市郫县九瑞大学堂培训学校;-;2015-12-31;100.00
成都神鸟数据咨询有限公司;-;2017-12-31;98.80
成都英康贸易有限责任公司;-;2017-12-31;96.00
成都商报发行投递广告有限公司;-;2017-12-07;95.07
四川博瑞眼界户外传媒有限公司;-;2017-12-31;93.00
成都博瑞广告有限公司;-;2017-12-31;85.00
成都博瑞小额贷款有限公司;-;2017-12-31;84.00
深圳市博瑞创业广告有限公司;-;2017-12-31;67.50
成都博瑞梦工厂网络信息有限公司;-;2017-12-31;60.00
常州天堂网络科技有限公司;-;2017-12-31;56.00
博瑞纵横国际广告(北京)有限公司;-;2017-12-31;50.00
甘肃西部商报传媒发展有限公司;-;2015-12-31;49.00
四川岁月文化艺术有限公司;-;2017-12-31;40.20
成都博瑞银杏旅游文化发展有限公司;-;2017-12-31;40.00
成都每日经济新闻报社有限公司;-;2017-12-31;35.00
成都联创博瑞股权投资基金管理中心(有限合伙);-;2017-12-31;29.49
成都小企业融资担保有限责任公司;-;2017-12-31;20.00
成都全搜索科技有限责任公司;-;2017-12-31;17.87
