参控股名称;股票代码;报告期;持股比例(%)
汉中市国中自来水有限公司;-;2017-12-31;100.00
汉中市汉江供水实业有限责任公司;-;2017-12-31;100.00
涿州中科国益水务有限公司;-;2017-12-31;100.00
沈阳经济区彰武爱思特水处理有限公司;-;2017-12-31;100.00
宁阳磁窑中环水务有限公司;-;2017-12-31;100.00
国水(昌黎)污水处理有限公司;-;2017-12-31;100.00
国水(马鞍山)污水处理有限公司;-;2017-12-31;100.00
鄂尔多斯市国中水务有限公司;-;2017-12-31;100.00
东营国中环保科技有限公司;-;2017-12-31;100.00
国中水务香港有限公司;-;2017-12-31;100.00
牙克石市国中水务有限公司;-;2017-12-31;100.00
齐齐哈尔国中水务有限公司;-;2017-12-31;100.00
齐齐哈尔国中污水处理有限公司;-;2017-12-31;100.00
深圳市前海国中环保投资发展有限公司;-;2017-12-31;100.00
北京国中大华环保科技发展有限公司;-;2017-12-31;100.00
国中(上海)环保科技有限公司;-;2017-12-31;100.00
北京国中家源新型城镇投资发展有限公司;-;2017-12-31;100.00
荣县国中水务有限公司;-;2017-12-31;100.00
北京国中迈富环保科技发展有限公司;-;2017-12-31;100.00
广州国中格里环保有限公司;-;2017-12-31;100.00
天津国中科创环保科技有限公司;-;2017-12-31;100.00
湖南国中水务投资有限公司;-;2015-12-31;100.00
青海雄越环保科技有限责任公司;-;2017-12-31;95.00
国中(秦皇岛)污水处理有限公司;-;2017-12-31;91.82
北京中科国益环保工程有限公司;-;2017-12-31;90.00
北京国中科创环境科技有限责任公司;-;2017-12-31;90.00
湘潭国中水务有限公司;-;2017-12-30;81.80
太原豪峰污水处理有限公司;-;2017-12-31;80.00
湘潭国中污水处理有限公司;-;2017-12-31;75.81
四川国中亿思通环保科技有限公司;-;2017-12-31;63.00
