参控股名称;股票代码;报告期;持股比例(%)
国投鼎石海外投资管理有限公司;-;2017-12-31;100.00
Jaderock Investment Singapore Pte. Ltd;-;2017-12-31;100.00
Redrock Investment Limited;-;2017-12-31;100.00
国投甘肃售电有限公司;-;2017-12-31;65.00
国投新能源投资有限公司;-;2017-12-31;64.89
天津国投津能发电有限公司;-;2017-12-31;64.00
国投钦州发电有限公司;-;2017-12-31;61.00
国投甘肃小三峡水电有限公司;-;2017-12-31;60.45
国投伊犁能源开发有限公司;-;2017-12-31;60.00
厦门华夏国际电力发展有限公司;-;2017-12-31;56.00
国投北部湾发电有限公司;-;2017-12-31;55.00
国投盘江发电有限公司;-;2017-12-31;55.00
雅砻江流域水电开发有限公司;-;2017-12-31;52.00
靖远第二发电有限公司;-;2017-12-31;51.22
福建太平洋电力有限公司;-;2017-12-31;51.00
国投云顶湄洲湾电力有限公司;-;2017-12-31;51.00
国投宣城发电有限责任公司;-;2017-12-31;51.00
国投云南大朝山水电有限公司;-;2017-12-31;50.00
Lestari Listrik Pte. Ltd.;-;2017-12-31;42.11
国投财务有限公司;-;2017-12-31;35.40
淮北国安电力有限公司;-;2017-12-31;35.00
江西赣能股份有限公司;000899.SZ;2018-03-31;33.72
徐州华润电力有限公司;-;2017-12-31;30.00
铜山华润电力有限公司;-;2017-12-31;21.00
江苏利港电力有限公司;-;2017-12-31;17.47
江阴利港发电股份有限公司;-;2017-12-31;9.17
瀚蓝环境股份有限公司;600323.SH;2018-05-04;8.62
